|0|1|2|sum
Chenopodiaceae|0.0823717477615713|0.10415231425943824|0.07423092410201623|0.2607549861230258
Urticaceae|0.010949375983239376|0.24769489103285763|5.999469282789555e-14|0.258644267016157
Scrophulariaceae|0.15481984284126094|0.08339368933026618|2.4997788678289814e-15|0.23821353217152963
Asteroideae|0.09343767623641706|0.0727705351244507|0.06969404459420157|0.23590225595506936
Saxifragaceae|0.1288436824934322|1.048067800862931e-17|0.07535783216032092|0.20420151465375314
Populus|0.13654631446704657|3.493559336209769e-19|0.0675004304698122|0.20404674493685876
Iridaceae|0.08057846369293362|0.03602545952943797|0.08682581157285219|0.20342973479522378
Valerianaceae|0.09525000225377034|1.048067800862931e-17|0.09891971830692878|0.19416972056069914
Oleaceae|0.021302328388835976|0.016675852793526735|0.15538835146803856|0.19336653265040127
Pinus|6.067899549148026e-15|0.048657449794934915|0.12863856348896105|0.17729601328390204
Castanea|6.067899549148026e-15|3.493559336209769e-19|0.17497621192041588|0.17497621192042195
Tilia|0.17319916475835911|3.75117965597512e-10|2.4997788678289814e-15|0.17319916513347958
Buxus|0.07781490157434834|1.048067800862931e-17|0.0916718402774546|0.16948674185180296
Lotus type|0.1057877849854257|0.0011924355122516835|0.05909354515213596|0.16607376564981333
Viburnum|0.13565149778917113|0.029016191169588777|5.999469282789555e-14|0.16466768895881992
Rumex|0.013309617545386876|0.1502131207958023|5.999469282789555e-14|0.16352273834124917
Primulaceae|0.02791744488609172|0.007437232535991328|0.11696593753874185|0.15232061496082488
Betula|0.02272042344910248|3.493559336209769e-19|0.12434677921004011|0.14706720265914258
Abies|6.067899549148026e-15|0.010149258976933296|0.13544267636691557|0.14559193534385492
Genista|1.2742589053210856e-13|3.493559336209769e-19|0.14508826914673376|0.14508826914686118
Taxus|0.13483801081042282|3.493559336209769e-19|2.4997788678289814e-15|0.13483801081042532
Phillyrea|6.067899549148026e-15|3.493559336209769e-19|0.13238179197853978|0.13238179197854585
Ranunculaceae|0.12524404639754352|3.493559336209769e-19|6.924387463886279e-13|0.12524404639823597
Quercus perennifolio|0.04705592783390734|0.0034787324836439205|0.07142730186832445|0.12196196218587571
Liliaceae|0.12076977780295331|1.048067800862931e-17|1.1748960678796218e-13|0.12076977780307081
Juglans|6.067899549148026e-15|3.493559336209769e-19|0.11972321307204234|0.1197232130720484
Lamiaceae|6.067899549148026e-15|0.0347362395353311|0.08364589786789223|0.11838213740322939
Ranunculus|0.05417456670548133|3.493559336209769e-19|0.06206060607353816|0.11623517277901949
Campanulaceae|0.05403508856699889|2.0612000083637638e-17|0.05739659725344058|0.1114316858204395
Sambucus|0.039126863777233484|0.07024009216180949|2.4997788678289814e-15|0.10936695593904547
Fagus|6.067899549148026e-15|1.523191870587459e-16|0.1063220568418171|0.10632205684182332
Boraginaceae|0.09853518094197332|3.493559336209769e-19|1.1748960678796218e-13|0.09853518094209081
Tamarix|0.05587029637207407|0.004239191517474703|0.03416274843333599|0.09427223632288477
Caryophyllaceae|0.015309566293884252|0.04865744979493493|0.02602426862111522|0.0899912847099344
Berberidaceae|0.0020368518307892188|0.03555233491820785|0.04999425871849477|0.08758344546749183
Polygonaceae|6.067899549148026e-15|3.493559336209769e-19|0.08672845803340376|0.08672845803340982
Papaver|0.018106552627302024|3.493559336209769e-19|0.05309177104408035|0.07119832367138237
Pistacia|0.06852139515677763|3.493559336209769e-19|2.4997788678289814e-15|0.06852139515678013
Crassulaceae|0.007909358881246328|0.03555233491820658|0.02143304314977467|0.06489473694922757
Acer|0.056272621339458866|3.493559336209769e-19|2.4997788678289814e-15|0.056272621339461364
Vitis|6.067899549148026e-15|3.493559336209769e-19|0.054023544459513295|0.05402354445951937
Poaceae|6.067899549148026e-15|0.029611803812661174|0.014449861115871801|0.044061664928539045
Convolvulaceae|0.0005772296122365765|3.493559336209769e-19|0.04269440190563981|0.04327163151787639
Ephedra fragilis|0.036504002120926186|3.493559336209769e-19|5.999469282789555e-14|0.03650400212098618
Euphorbiaceae|0.007188744605887469|0.028581180403802108|2.4997788678289814e-15|0.035769925009692075
Rhamnus|0.023336704337078202|3.751180669107328e-10|2.4997788678289814e-15|0.023336704712198772
Hereda helix|0.0020368518307892188|1.048067800862931e-17|2.4997788678289814e-15|0.002036851830791729
Centaurea|0.0009509048633394772|3.493559336209769e-19|2.4997788678289814e-15|0.0009509048633419773
Lonicera|1.2742589053210856e-13|3.493559336209769e-19|2.4997788678289814e-15|1.2992601875587115e-13
Myrtus|1.2742589053210856e-13|3.493559336209769e-19|2.4997788678289814e-15|1.2992601875587115e-13
Ilex aquifolium|6.067899549148026e-15|1.8271315328377102e-16|2.4997788678289814e-15|8.75039157026078e-15
Carpinus|6.067899549148026e-15|3.493559336209769e-19|2.4997788678289814e-15|8.568027772910629e-15
Thymelaeaceae|6.067899549148026e-15|3.493559336209769e-19|2.4997788678289814e-15|8.568027772910629e-15
