depth,age,accrate,Acer,Alnus glutinosa type,Betula pendula/pubescens type,Castanea sativa,Celtis australis type,Corylus avellana,Fagus sylvatica,Frangula alnus,Fraxinus angustifolia type,Juglans regia,Juniperus type,Olea europaea,Pinus,Populus,Quercus ilex type,Quercus pyrenaica/faginea type,Quercus suber type,Salix,Tamarix,Ulmus,Arbutus unedo,Calluna vulgaris,Cistus,Crataegus type,Ephedra distachya type,Ephedra fragilis type,Erica arborea/scoparia type,Erica australis type,Erica tetralix type,Erica umbellata,Erica undiff.,Genista type,Helianthemum,Lamiaceae 6-colpate,Ligustrum vulgare type,Lonicera periclymenum type,Myrtus communis,Phillyrea,Pistacia,Prunus type,Rhamnus,Rosa type,Rubus type,Sambucus nigra type,Thymelaeaceae,Viburnum tinus type,Vitis vinifera,Agrimonia,Allium type,Anagallis type,Anthemis type,Anthriscus sylvestris type,Aphanes,Apiaceae,Arenaria type,Artemisia,Asphodelus,Aster type,Astragalus type,Boraginaceae undiff.,Brassicaceae,Bryonia dioica type,Bupleurum type,Campanula type,Campanulaceae,Cannabis sativa type,Cardueae,Caryophyllaceae undiff.,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cerastium type,Cerealia type,Chelidonium majus type,Chenopodiaceae,Cichorioideae,Consolida,Convolvulaceae,Corrigiola litoralis type,Corrigiola telephiifolia type,Daucus type,Echium,Eryngium type,Fabaceae undiff.,Filipendula,Gentianaceae,Geranium,Herniaria,Humulus lupulus,Hypericum perforatum type,Illecebrum verticillatum,Jasione type,Liliaceae undiff.,Linaria type,Linum catharticum type,Lotus type,Minuartia type,Papaver rhoeas type,Paronychia type,Pimpinella major type,Plantago coronopus type,Plantago lanceolata type,Plantago major type,Plantago maritima type,Plantago undiff.,Poaceae,Polygala vulgaris type,Polygonum aviculare type,Potentilla type,Rosaceae undiff.,Rubiaceae,Rumex acetosa/acetosella type,Rumex obtusifolius type,Sagina,Sanguisorba minor type,Scabiosa,Scandix pecten-veneris type,Scilla type,Scleranthus,Scrophulariaceae,Secale,Sedum type,Silene dioica type,Silene vulgaris type,Smyrnium type,Spergularia type,Stachys type,Teucrium type,Trifolium pratense type,Trifolium repens type,Tuberaria,Urtica dioica type,Urtica pilulifera type,Valeriana officinalis,Vicia/Lathyrus type,Alisma,Caltha palustris,Cyperaceae,Drosera rotundifolia type,Lythrum hyssopifolia type,Lythrum portula type,Myrica gale,Myriophyllum spicatum,Oenanthe,Parnassia palustris,Potamogeton,Ranunculus,Sagitaria sagittifolia,Thalictrum,Typha/Sparganium,Utricularia,Isoetes,Monolete,Ophioglossum type,Pteridium aquilinum,Selaginella type,Trilete,Cercophora type,Gelasinospora,Podospora type,Sordaria type,Sphagnum,Sporormiella type,Tilletia sphagni,,CHAR (# cm-2 yr-1),Charcoal concentration (# cm-3),,Lycopodium exotic marker pollen,Lycopodium tablets,Nr Lycopodium spores/tablet,Unidentified,Volume (cm3),,Obligate coprophilous fungi infl.,Podospora type infl.,Sordaria type infl.,Sporormiella type infl.
47,3383,34,0,0,0,0,0,0,0,0,0.3,0,0,0,3.5,0,6.5,17.4,3.2,0.6,0,0,0.3,1.9,2.3,0.6,0,0,25.8,3.2,5.2,0.6,1,1.6,0.6,0.3,0,0,0,2.9,0.3,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0.3,0,0.3,0,0,0,0,0.3,0,1.3,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,11.6,1.3,0,0.3,0,0.3,1.3,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0.3,0,0,40,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.6,1.3,4.2,8.1,0.6,,1823.38865,95326.75862,,75,2,9666,,0.5,,305.68324407039,19.7214996174445,39.4429992348891,246.518745218057
48,3451,31,0,0,1.6,0,0,0.6,0,0,0.6,0,0,0,6.3,0,7.5,12.5,4.4,0.3,0,0,0.9,1.9,4.4,0,0,0,14.1,3.1,13.8,0,1.6,1.3,0,0,0,0,0,2.5,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,13.5,0,0,0.3,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,42.9,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,5,4.7,12.9,0.3,,2945.130056,134651.3462,,95,2,13911,,0.6,,608.530183727034,0,170.815490168992,437.714693558042
49,3514,33,0,0.5,1,0,0,0,0,0,0,0,0,0,3.4,0,1.5,21,2,0.5,0,0,0,1,1.5,0.5,0,0,28.3,0.5,3.4,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,29.3,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,2.9,5.4,1,,3519.317124,137358.9474,,281,2,9666,3,0.6,,44.0668415481111,0,11.751157746163,32.3156838019481
50,3554,8,0,0.3,0.6,0,0,0.3,0,0,0,0,0,0,3.8,0,3.2,20.7,3.2,0.3,0,0,0.3,1,0.6,0,0,0,21.7,1.3,2.5,0,0.3,0.3,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,0,0,0,0,0,1.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,1.3,0,,37207.49306,1206639,,82,2,9666,3,0.6,,84.8130682971955,0,36.3484578416552,48.4646104555403
51,3569,7,0,0.4,0.8,0,0,0,0,0,0,0,0,0.4,4.3,0,3.9,15.6,1.2,0,0,0,0.4,0.4,0.8,0,0,0,28.5,1.6,2.3,1.2,0.8,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0.4,28.1,0,0,0,0,0,2.7,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.4,0,0,51.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0.8,0,0,0,0,0,0,0,0,0,,13931.9864,368919,,308,2,9666,,0.6,,0,0,0,0
52,3604,6,0,0,1.3,0,0,0.7,0,0,1,0,0.3,0,4.9,0,4.2,20.2,1.3,1,0,0,0,0.3,0.7,0,0,0.3,20.2,1,2.3,0,0,1,0,0.7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7,0,0.3,0.3,0,1,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,26.7,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,7.2,0.3,0,0,91.9,0,0,0,0.3,0.3,0.3,0,0.3,0,0.3,0,0,0,0,0,0,1.6,0,0.7,7.2,0.3,0.3,,28396.91358,414027,,131,2,9666,2,0.6,,50.6078597681651,0,33.7385731787768,16.8692865893884
53,3622,7,0,0,0.6,0,0,0,0,0,0.6,0,0.3,0,3.9,0,6.6,19.8,3.3,0.9,0,0,0,0.6,0.9,0,0,0,15.3,1.5,5.1,0.3,0.6,1.2,0,0.3,0,0,0,2.1,0.3,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,28.1,0,0,0.3,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,8.4,0,0,0,62.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.9,0,0,13.2,0,0,,100640.7181,953067.6,,90,2,9666,3,0.5,,0,0,0,0
54,3635,7,0,0,3.3,0,0,0,0,0,0,0,0,0,6.2,0,6.6,18.4,1.6,0.7,0,0,0.3,1.3,0.3,0,0,0,16.4,2.6,1.3,0,0,1,0,0.3,0,0,0,3.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.3,29.2,0,0.3,0.7,0,0,1.6,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,9.2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,17.4,0,0,,69079.84761,478032.5455,,180,2,13911,,0.5,,0,0,0,0
55,3649,7,0,0,0.6,0,0,0,0,0,0,0,0,0.3,3.5,0,5.1,16.9,2.6,0.6,0,0,0,0,1,0,0,0,15,3.5,2.6,0.3,1,2.2,0.3,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0.3,0.6,0.3,0,0,31,0,0,0.3,0,0.3,4.8,0,0,0,0,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,6.1,0,0,0,39.3,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0.3,0.3,0,16.6,0,0,,84385.71429,425304,,60,2,9666,,0.6,,106.547619047619,106.547619047619,0,0
56,3663,7,0,0.7,1.6,0.7,0,0,0,0.3,0,0,0,0.3,4.6,0,3.6,15.7,2.3,0.3,0,0,0.3,0,0.3,0,0,0,16.7,2,3.9,0,0.7,1,0,0.3,0,0,0,2.6,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0.7,0.3,0,0,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0.3,0,31.5,0,0,2,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.7,0,8.9,0,0,0,39,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,12.5,0.7,0,,316843.9481,1219849.2,,46,2,9666,,0.5,,1528.22134387352,0,1091.58667419537,436.634669678148
57,3676,7,0,0,0.7,0.3,0,0,0,0,0,0,0,0,3.6,0,3.6,22.5,2.6,0,0,0,0.3,0.3,1,0,0,0,16.6,0.3,2,0,1,2.3,0,0.7,0,0,0,3.9,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.3,0,0.3,0,0,0,0,0,0.3,0.3,0.7,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,2.9,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,9.1,0,0,0,41.4,0,0,0,4.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.6,13.7,0,0,,182870.2703,608958,,79,2,9666,,0.6,,612.384536435169,0,612.384536435169,0
58,3689,7,0,0.3,0.3,0,0,0,0,0,0,0,0,0,5.2,0,3.6,20.2,5.5,0.3,0,0,1.3,0.3,1.3,0,0,0,25.1,1,6.8,0.3,0,0,0.3,0,0,0,0,3.9,0.7,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,17.3,0,0,0.3,0,0,1.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,9.8,0.3,0.3,0,28.3,0,0,0,7.5,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,1.3,24.4,0.3,0,,108118.1763,355708.8,,59,2,9666,,0.5,,995.930142702591,0,796.744114162073,199.186028540518
59,3716,6,0,0.3,8.2,0,0,0,0,0.3,0,0,0.3,0.6,1.7,0,3.2,7,1.7,0,0,0,0.6,4.1,3.2,0,0,0,23,1.7,6.7,0.3,0,1.7,0,0.3,0,0,0,2,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0.6,0,0.3,0,0,0,0,0,0,0,0.6,1.2,0,0.3,0,0,0,0,0,0,0,0,0,24.2,0,0,1.2,0,0,2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,1.2,0.3,0.6,19.2,1.2,3.2,,73978.63751,242649.931,,77,2,9666,,0.5,,1071.61862527716,153.088375039595,306.176750079189,612.353500158378
60,3744,6,0,0.3,8.1,0,0,0,0,0,0,0,0,0.3,1.9,0,4.1,7.6,1.1,0.5,0,0,0,4.3,2.2,0.3,0,0,21.9,2.4,3,0.3,1.1,1.1,1.6,1.4,0,0,0,2.2,0,0.3,0.3,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.8,0,0.5,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0.5,0,0.3,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,23,0,0.3,0.3,0,0.3,1.4,0,0,0,0,0,0.3,0,1.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,10.5,0,0,0,30,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0.3,15.9,1.4,4.1,,109291.3931,358475.7692,,87,2,13911,2,0.6,,974.978973927671,0,162.496495654612,812.482478273059
61,3769,7,0,0.3,10.2,0,0,0.3,0,0,0,0,0.3,0,1.8,0,2.7,7.5,1.2,1.2,0,0,0.6,5.1,1.2,0,0,0,26.4,2.4,4.5,0.6,0.3,1.2,0,0.6,0,0,0.6,0.6,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,21.6,0,0,0.9,0,0,1.2,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,15,0,0,0,26.1,0,0.3,0,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0,0.9,0,0.3,16.8,0.6,3.9,,116895.7317,383418,,88,2,9666,,0.6,,334.880820399113,0,111.626940133038,223.253880266075
62,3795,7,0,0.3,4.9,0,0,0,0,0,0,0,0.3,0.3,2,0,2.3,6.4,0.6,1.2,0,0,0,5.8,1.7,0,0,0,28.7,3.8,4.6,0,0.3,1.2,0,0,0,0,0,1.2,0,0,0,0.3,0,0,0,0.3,0,0,0.3,0,0.6,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0.3,0.3,0,0.6,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0.3,0,0,0,25.5,0,0,0.6,0,0,1.4,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0.9,0.3,0,15.7,1.2,4.6,,75548.41511,248554.2857,,73,2,9666,2,0.5,,804.929841362368,160.985968272474,0,643.943873089895
63,3822,6,0,0,7.3,0.3,0,0,0,0.6,0,0,0.3,0.3,2.4,0,3.6,7.3,0.3,1.5,0,0,0.3,3.9,1.8,0,0,0,24.2,1.5,4.5,0,0,1.8,0.3,0.3,0,0,0,1.2,0.3,0,0.3,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0.3,0,0.3,0,0.6,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0.3,0,0.3,0,25.4,0,0.3,1.5,0,0,1.2,0,0,0.3,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,8.8,0,0,0,31.4,0,0,0,0,0.3,0,0,0,0,0.3,0.3,0,0.3,0,0,0,1.2,0,1.2,15.4,1.2,4.2,,57930.90909,191172,,88,2,9666,1,0.6,,887.603305785124,0,443.801652892562,443.801652892562
64,3847,6,0,0,8.5,0,0,0,0,0,0,0,0,0.3,1.5,0,2.6,7.9,0.9,0.6,0,0,0.3,2.9,0.9,0,0,0,17.2,0.9,4.4,0,0.9,2.3,0,0.9,0,0,0,1.5,0,0,0,0.3,0,0,0.3,0.3,0.3,0,0,0,0.6,0,0,0.3,0,0.3,0.3,0,0.9,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0.9,0.6,0,0,0,0,0.6,0.3,0.9,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.3,0.3,0,0,30,0,0.3,0.9,0,0,1.7,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,14.6,0,0,0,30.3,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0.9,0,1.2,0,0.6,0,0.9,16,0.9,5,,48884.03614,162295,,136,2,13911,4,0.6,,616.185329553508,0,308.092664776754,308.092664776754
65,3874,6,0,0,3,0.3,0,0,0,0,0,0,0,0,3.6,0,5.5,13.3,0.9,0.6,0,0,0,1.8,2.1,0.3,0,0,19.1,0.6,4.8,0.3,0.6,0.6,0,1.2,0,0,0,3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0.6,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,28.8,0,0,0.6,0,0.6,1.5,0,0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,12.1,0,0,0,44.8,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0.9,0,0,0,0.6,0,1.5,14.2,0.9,0.9,,28940.11976,96660,,82,2,9666,2,0.7,,806.693233741576,0,504.183271088485,302.509962653091
66,3898,6,0,0,0.3,0,0,0.6,0,0,0,0,0,0,4.8,0,6.7,22.6,3.5,0.6,0,0,0.3,0.3,1,0,0,0,18.5,0.3,1.9,0,0.3,0.6,0.6,0.3,0,0,0,1.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,2.5,0,0.6,7.3,0,0,,75668.27153,255758.7578,,226,2,9666,,0.7,,72.3075426955618,0,72.3075426955618,0
67,3924,7,0,0,0,0,0,0.3,0,0,0.3,0,0,0,2.1,0,3.1,5.8,3.1,0,0,0,0.3,1.2,2.8,0.3,0,0,28.5,0.9,9.2,0.6,0,0,0,0.3,0,0,0,0.9,0,0,0,0,0,0,0.6,0.3,0,0,0.3,0,0,0,0,0,0,0.6,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,34.7,0,0,0.3,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.9,3.1,1.2,0,,60404.06368,205977.8571,,150,2,9666,,0.8,,330.703812316716,0,141.730205278592,188.973607038123
68,3961,17,0,0,2.9,0,0,0,0,0,0,0,0,0,3.6,0,3.6,7.8,1.3,0.3,0,0.3,0.7,2.6,1.6,0.3,0,0,29,3.6,5.2,0,1.6,0.7,0.3,0.3,0,0,0,2,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0.3,0.3,0,2,0,0,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,37.1,0,0,0,0,0.7,0,0,0,0,0,0,0,0.3,0,0.7,0,1,0,0.3,4.9,0,0,,91499.3311,315672.6923,,608,2,13911,3,0.6,,22.1062166285278,0,22.1062166285278,0
