|0|1|2|sum
Myrtus|0.0926179456336469|1.78224916490837e-19|0.019959186072880008|0.11257713170652692
Ilex aquifolium|0.032041551456882394|0.06962973273091837|0.005052914425676652|0.10672419861347741
Iridaceae|2.923909842521811e-37|0.016446500922308534|0.0880408907815189|0.10448739170382744
Primulaceae|0.014249717843580244|0.04498236903052294|0.031313985070977664|0.09054607194508085
Carpinus|2.923909842521811e-37|3.9209481627984146e-18|0.0880408907815189|0.0880408907815189
Juniperus|0.04424100286532199|0.03608757557362352|4.4046266738178615e-05|0.08037262470568368
Alnus|0.018541792043150283|0.05983311270079522|0.001960115406198907|0.08033502015014442
Ephedra fragilis|0.006337243385572859|0.07229745448471667|0.001498846694795035|0.08013354456508456
Populus|0.02153086649832835|0.009998362127459769|0.04583770987814929|0.07736693850393742
Artemisia|0.053506212336642746|1.78224916490837e-19|3.293295563963909e-13|0.05350621233697207
Sedum|0.029866919462713273|0.009998362127459807|0.013485840668047182|0.053351122258220265
Viscum album|2.923909842521811e-37|1.78224916490837e-19|0.04949779102560315|0.04949779102560315
Castanea|2.923909842521811e-37|1.78224916490837e-19|0.04914914204571317|0.04914914204571317
Vitis|2.923909842521811e-37|1.78224916490837e-19|0.043503484862338904|0.043503484862338904
Rhamnus|0.003668080704577793|0.036142792196632564|0.0016449751995601361|0.0414558481007705
Campanulaceae|0.01603143980056152|0.0167318231327295|0.007874743529996306|0.04063800646328733
Taxus|0.03658672674370286|1.78224916490837e-19|1.568235982839957e-14|0.036586726743718545
Buxus|0.0052578071440300455|0.009998593779229601|0.0056456571899765355|0.020902058113236182
Corylus|2.923909842521811e-37|0.014492429588149051|1.568235982839957e-14|0.014492429588164733
Ericaceae|0.011822205086522045|1.78224916490837e-19|1.568235982839957e-14|0.011822205086537727
Betula|2.923909842521811e-37|0.008186536744123922|4.404626375853024e-05|0.008230583007882451
Lonicera|0.007337963671696395|1.78224916490837e-19|1.568235982839957e-14|0.007337963671712078
Phillyrea|2.923909842521811e-37|1.78224916490837e-19|0.005791785694741636|0.005791785694741636
Cerealia type|2.923909842521811e-37|1.78224916490837e-19|3.3089779237923085e-12|3.308978102017225e-12
Polygonaceae|2.923909842521811e-37|1.78224916490837e-19|3.293295563963909e-13|3.293297346213074e-13
