age,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Aristolochia,Artemisia,Asphodelus,Asteroideae,Berberidaceae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Cardueae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Convolvulaceae,Corydalis,Corylus,Crassulaceae,Cyperaceae,Dipsacoideae,Droseraceae,Ephedra distachya,Ephedra fragilis,Epilobium,Ericaceae,Erodium,Euphorbiaceae,Fabaceae,Fagus,Fraxinus,Galium,Genista,Gentiana,Geraniaceae,Hedera helix,Helianthemum,Ilex aquifolium,Iridaceae,Juglans,Juniperus,Lamiaceae,Lemna,Liliaceae,Linum,Lonicera,Lotus-type,Lythrum,Myrtus,Nymphaea,Olea,Oleaceae,Papaver,Phillyrea,Pinguicula,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia),Podospora,Polygonaceae,Populus,Potentilla,Primulaceae,Quercus (deciduous),Quercus (evergreen),Quercus faginea,Rhamnus,Ribes,Rosaceae,Rubiaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Sedum,Tamarix,Taxus,Thymelaeaceae,Tilia,Trifolium-type,Ulmus,Urticaceae,Valerianoideae,Viburnum,Viscum album,Vitis,total,Sordaria,Sparganium,Sporormiella,Triletes,Triletes (scabrate),Typha,Selaginella,Orobanchaceae,Osmunda,Asplenium,Botrychium,Isoëtes,Juncus,Monoletes,Monoletes (rugulate),Myriophyllum,Pedicularis,Polypodium,Potamogeton,Ranunculaceae,Ranunculus,Thalictrum
1520.9,1,,,7,,,15,,2,,9,,,,,,,3,,,4,,,,6,1,2,,,,,,6,,,21,5,,1,1,,,,,,1,,4,15,,,,,6,,,,,1,,,,122,1,3,20,1,,,,,4,9,2,3,,,5,,1,,,,9,,1,,,,2,1,5,,,,1,301,,,,,,,,,,,,,,,,8,,,1,7,3,2
1656.9,1,,2,6,2,,13,,1,,2,,1,,,,,1,,,2,,,,7,,2,,,,,,3,,,24,6,,,9,,,,,,,,5,16,,,,,4,,1,,1,,,,,137,,1,13,,,,,,11,21,12,12,,,4,,,,,3,8,3,,,,2,2,,3,,,,,341,,,,,,1,,,,1,,,,,,7,1,,,10,5,3
1745.4,1,,2,10,2,,23,1,1,1,13,,,,2,,,,,,2,,,,2,1,4,,,,,,1,,,15,6,2,,3,,,,,,,,10,12,,1,,,1,,,,1,,,,,117,,1,39,2,,,1,,2,6,9,3,,,4,,,,,,3,,,,,,,2,11,,,,1,318,,,,3,,,,,,,,,,,,3,,,1,1,4,1
1881.5,5,,1,3,,,10,2,1,1,6,,,,,,,,1,,4,,,,6,1,3,,,1,,,3,,,33,17,,,2,,,,,,1,,7,16,,1,,,,,,,1,1,,,,138,,1,22,,,,1,,1,19,5,5,,,4,,,,,,4,,,,,,1,1,9,,,,1,339,,,,1,,,,,,1,,,,1,,2,,,,10,4,1
2017.5,1,1,,6,1,,9,,3,,5,,,,,,1,,1,,6,,,,5,,1,,,,1,,3,,,34,4,1,1,3,,,,,,2,,11,13,,,,,2,,,,3,,,,,129,,,24,,,,,,1,6,10,11,,,5,,,,,,1,,,,,,2,,4,,,,,311,,,,,,,,,,,1,,,1,,1,,,,3,2,1
2176.1,3,,1,3,4,,23,,3,,8,,1,,,,,1,,,4,,,,4,,4,,,,,,3,,,33,4,2,,4,,,,,,,,7,18,,,,,,,,,3,,,,,128,,1,24,1,,,,,4,12,9,13,,,2,,,,,,2,,,,,2,1,,11,,,,2,345,,,,1,,,,,,,,,,2,,2,1,,,8,2,4
2349.7,5,,1,7,2,,16,,2,,8,,2,,1,,1,1,,,7,,,,3,,4,,,,1,,1,,,24,1,,,5,,,,2,,1,,7,6,,,,,,,,,1,,,,,130,,3,24,1,,,,,1,20,5,4,,,4,1,,3,,,1,,,,1,1,,1,21,,,,,330,,,,,,,,,,,,,1,1,,2,,,,8,5,4
2523.3,10,,1,7,3,,33,,2,,3,1,1,,,1,,,,,1,,,,9,,2,,,,,,9,,,33,4,,,4,,,,2,,,,12,11,,2,,,2,,,,,,,,,140,,2,28,,,,1,,3,19,9,10,,,5,,,1,,,4,,1,,,1,,1,8,,,,,386,,,,,1,,,,,1,,,,1,,2,,,,9,6,4
2696.9,10,,,6,2,,29,,4,1,11,,1,,,,,,1,,2,,,,5,,,,,,,,2,,,28,3,,,7,,,,1,,,,6,12,,1,,,1,1,,,,,,,,157,,3,23,,,,1,,3,15,9,8,,,4,,,1,,,2,1,1,,,,,,4,,,,,366,,,,,,,,,,,,,,1,,5,,,,7,,4
2788.4,3,,2,7,2,,9,,,,9,,,,,,,,,,2,,,,9,,4,,,,1,,2,,,33,4,,,4,,,,1,,,,6,12,,,,,3,,,,2,,,,,116,,1,18,,,,1,,1,20,10,4,,,8,,1,1,,,2,1,1,,1,,,2,3,,,,,306,,,,,,,,,,,,,,1,,10,1,,2,8,5,4
