depth,age,acer,alisma,alnus,amaranthaceae,apiaceae,artemisia,asteroideae undiff.,betula,brassicaceae,buxus,calluna vulgaris,campanula-type,carpinus,caryophyllaceae undiff.,centaurea cyanus-type,centaurea jacea-type,centaurea scabiosa,centaurea undiff.,cichorioideae,circaea,corylus,cyperaceae,echium,equisetum,euonymus europaeus,fabaceae undiff.,fagopyrum,fagus,filipendula,frangula,fraxinus,galium-type,hedera,helianthemum,humulus/cannabis,juglans,juniperus,lamiaceae undiff.,lithospermum-type,mentha-type,menyanthes trifoliata,micranthes stellaris-type,myriophyllum alterniflorum,myriophyllum spicatum/m. verticillatum,persicaria amphibia,picea,pinus,plantago lanceolata,plantago major/p. media,plantago uniflora,poaceae,poaceae (cerealia-type),polygonum aviculare,populus,potentilla-type,quercus,ranunculaceae undiff.,ranunculus sect. batrachium,ranunculus-type,rhamnus cathartica,rosaceae undiff.,rumex-type,salix,sambucus,secale,sparganium-type,spergula,succisa,symphytum,taxus,tilia,trifolium-type,ulmus,urtica-type,vaccinium-type,valeriana,vicia-type,viscum
560,5894,2,,60,,6,1,,28,,,,1,,,,,,,,,508,13,,,,,,,6,,33,,4,,,,,,,1,1,,,,,,6,3,,,20,2,,2,,208,,,3,,1,1,16,,,,,,,,102,,11,,,,,
570,6034,4,,61,,,1,1,30,,,,,,,,,,,,,453,3,,,,,,,34,,41,,,,,,,,,,,,,,,,5,,1,,13,,,,,273,,1,2,,3,11,9,,,,,,,,119,,20,,,,,
580,6117,,,42,,,2,,22,,,,,,1,,,,,,,528,9,,,,,,,2,,57,,,,,,,,,,,,,,,,13,2,,,15,,,4,,214,,,1,,2,1,2,,,,,,1,1,77,,17,,,,,1
590,6233,,,46,,,4,,9,1,,,,,1,,,,,,,709,2,,,,,,1,2,,22,,1,,,,,,,,,,,,,,6,,1,,29,,,,,132,,1,,,3,2,8,,,,,,,,94,1,12,,,,,
600,6336,2,,44,,,,1,11,,,,,,1,,,,,,,440,5,,,,,,,1,,63,2,4,,,,,,,,,,,,,1,9,,,,8,,,1,,199,,,,,,1,,,,,,,,3,100,,52,,,,,
610,6446,1,3,52,1,,1,1,29,2,,,,1,,,,,,,,416,4,,,,,,,3,,145,,2,,,,3,,,,,,,,,,9,,,,14,,,,,222,,2,1,,1,4,1,1,,,,,,,145,,105,1,,,,2
620,6588,2,,37,,,2,2,13,,,,,,1,,,,,,,421,6,,,,,,,1,,114,1,3,,,,,,,,,,,,,1,8,,,,11,,,,,212,,,,,,1,2,,,,,,,,137,,113,,,1,,
630,6756,1,,26,,,,1,13,,,,,1,,,,,,,,503,1,,,,,,,2,,112,,6,,,,1,,,,,,,,,,9,,,,18,,,,,197,,,,,1,,5,,,,,,,,117,,87,,,,,1
640,7013,2,,27,,,2,,13,,,,,,,,,,,,,412,5,,1,,,,1,1,,79,,5,,,,,,,,,,,,,,10,,,,5,,,,,161,,,1,,,,4,1,,,,,,,70,,187,,,,,
650,7188,,,27,,,4,1,25,,,,,,,,,,,,,520,2,,,,,,1,1,,103,,1,,,,,,,,,,,,,,8,,,,12,,,,,167,,,1,,,,,1,,,,,,,102,,128,1,,,,
660,7366,2,,38,,,,,17,,,,,,,,,,,,,298,11,,,,,,,,,183,,3,,,,,,,,,,,,,,9,,,,11,,,,,204,,,,,1,1,3,,,,,,,,143,,163,,,,,
670,7581,,,14,,,,,18,,,,,1,,,,,,,,562,3,,,,,,,2,,68,,4,,,,,,1,,,,,,,,22,,,,21,,,,,153,,,,,2,5,1,1,,,,,,,121,,124,,,,,1
680,7784,1,,25,,,,1,12,,,,,,,,,,,,,601,5,,,,,,,3,,122,1,3,,,,,,,,,,,1,,,14,,,,8,,,1,,172,,,,,2,,3,,,,,,,,69,,159,,,,,
690,7977,,,14,,1,1,,14,,,,,,,,,,,,,596,14,,,,,,1,3,,82,,6,,,,,,,,,,,,,,12,,,,10,,,,,144,,,,,4,1,1,1,,,,,,,78,,139,,,,,1
700,8132,3,,25,,,,,26,,,,,,,,,,,,,467,9,,1,,,,,,,88,,6,,,,,,,,,,,,,1,16,,,,6,,,,,128,,,1,,1,,1,,,,,,,,65,,147,,,,,2
710,8330,,,19,,,,,23,1,,,,,,,,,,,,474,11,,,,,,1,1,,86,,4,,,,,,,,,,,,,,19,,1,,16,,,,,192,,1,1,,2,2,,,,,,,,,77,,269,,,,,
720,8597,,,12,,,,,31,,,,,,1,,,,,,,581,15,,,,,,,2,,12,,2,,,,,,,,,,,,,,26,,,,10,,,,,172,,,,,2,,3,,,,,,,,73,,143,2,,,,1
730,8823,,,9,,1,1,1,12,,,,,,,,,,,,,791,8,,1,,,,,1,,5,,6,,,,,,,,,,,,,,11,,,,5,,,3,,121,,,,,2,1,5,1,,,,,,,19,,91,2,,,,1
740,9089,,,,,,,,26,,,1,,,,,,,,,,709,5,,,,,,,2,,,,1,,,,,,,,,,,,,,12,,,,3,,,,,124,,,,,,1,2,,,,,,,,19,,103,1,,,,1
750,9335,,,2,,1,1,,35,2,,,,,,,,,,,,949,5,,,,,,,1,,1,,,,,,,,,,,,,,,1,10,,,,4,,,1,,91,,,,,1,2,4,,,,,,,,15,,58,,,,,
760,9529,,,,,,1,2,19,,,,,,,,,,,,,820,1,,,,,,,2,,,,1,,,,,,,,,,,1,,,8,,,,4,,,1,,91,,,,,1,,1,1,,,,,,,6,,62,,,,,
770,9810,,,,,,1,,24,,,,,,,,,,,,,951,9,,1,,,,,2,,,,,,,,,,,,,,,,,,18,,,,6,,,,,103,,,1,,1,,3,,,,,,,,,,93,,,,,
780,10014,,,,,2,,1,24,,,,,,,,,,,,,821,5,,,,,,,1,,,,1,,,,,,,,,,,,,,25,,,,12,,,2,,32,,,,1,2,,1,,,,,,,,,,78,,,,,
790,10134,,,1,,,2,,40,,,,,,,,,,,,,852,3,,,,,,,1,,,,,,,,,,,,,,,,,,34,,,,7,,,,,32,,,,,,1,6,,,,,,,,,,120,1,,,,
800,10254,,,,,2,1,,42,,,,,,,,,,,,,834,3,,,,,,,2,,,2,,,,,,,,,,,,,,,62,,,,4,,,1,,26,,,,,1,2,4,,,2,,,,,,,26,1,,,,
810,10405,,,1,,,4,,40,,,,,1,,,,,,,,903,6,,1,,,,,4,,,,,,,1,,,,,,,,1,,,58,,,,13,,,,,38,,,,,2,,,,,,,,,,,,41,4,,,,
820,10591,,,,,1,1,1,66,11,,,,,,,,,,,,755,10,,,,,,,2,,,1,,,,,,,,,,,,1,,,124,,,,7,,,,,11,,,,,,,5,,,1,,,,,,,9,,,,,
830,10755,,,,,,8,4,264,,,,,,,,,,,3,,378,9,,,,,,,7,,1,,,,,,,,,,,,1,3,,,349,,,,27,,,,,8,,,,,1,1,4,,,,,,,,,,3,,,,,
840,10934,,,,1,1,5,,634,,,,1,,,,,,,,,50,21,,,,,,,21,,,3,,,,,,,,,,,,7,,,201,,,,33,,,17,,4,,,2,,,1,28,,,1,,,,,,,,2,,,,
