depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asplenium,asteroideae,berberidaceae,betula,boraginaceae,botrychium,brassicaceae,buxus,campanulaceae,cardueae,carpinus,caryophyllaceae,castanea,centaurea,cichorioideae,cistaceae,convolvulaceae,corydalis,corylus,crassulaceae,cyperaceae,dipsacoideae,droseraceae,ephedra distachya,ephedra fragilis,epilobium,ericaceae,erodium,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juncus,juniperus,lamiaceae,lemna,liliaceae,linum,lonicera,lotus-type,lythrum,myrtus,olea,oleaceae,orobanchaceae,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,poaceae,poaceae (cerealia),podospora,polygonaceae,populus,potamogeton,potentilla,primulaceae,quercus (deciduous),quercus (evergreen),quercus faginea,ranunculaceae,ranunculus,rhamnus,ribes,rosaceae,rubiaceae,rumex,salix,sambucus,saxifragaceae,scrophulariaceae,sedum,selaginella,sordaria,sparganium,sporormiella,tamarix,taxus,thalictrum,thymelaeaceae,tilia,trifolium-type,typha,ulmus,urticaceae,valerianoideae,viburnum,viscum album,vitis
518,6131091,1,,1,5,2,,5,,,,,45,,,5,,1,,,1,,,,,,,10,2,2,,,,,,1,,,27,,,1,6,,,,,1,,,,,6,9,,1,,,4,,,,,,,1,,72,1,1,24,,,,,1,,1,34,20,27,2,4,,1,1,,,3,1,,7,2,,,,,,,1,,9,3,,2,3,,1,,
523.5,6196091,,,1,6,2,,11,,,,,48,,,3,,,,,2,,,,,1,,13,3,1,,,,,,1,,,19,,1,,4,1,,,3,,,,,,1,12,,,,,6,,,,2,,,,,58,,1,20,,,,1,1,,,34,18,40,2,3,,1,2,1,2,3,1,2,6,1,,,,,1,,1,,4,,,1,6,,1,,
533.5,6314273,,,1,3,,,12,,,,,51,,,1,1,1,1,,1,,,,,,,6,1,1,,,1,,,1,,,14,,1,,4,,,,,,,,,,1,8,,,,,2,,,,,,,,,118,1,4,14,,,,,1,,2,26,18,20,6,1,,,1,,1,,,1,5,1,,,,,2,,1,,1,,,1,4,,1,,
546.5,6467909,,,2,2,2,,14,,,1,,61,,,1,1,1,,,1,,,,,,,16,4,1,,,,,,1,,,19,,1,,6,1,,1,1,,,,,,1,9,,1,,,1,,,,,,,1,,108,,1,17,,,,,,,4,36,8,10,4,1,,,3,1,1,1,,1,5,3,,,,,2,,1,,3,,,,1,,1,,
556.5,6586091,,1,2,1,4,,8,,,1,,64,2,,4,1,,,,1,,,,,,,16,,1,,,,,,,,,17,,2,,3,1,,1,1,1,,,,1,3,8,,1,,,,,,,,,,,,69,,1,23,,,,2,2,,1,40,10,25,2,3,,1,5,2,1,6,2,,7,2,,,,,,,1,,2,1,,2,5,,,,
566.5,6681696,,,,1,6,,5,,,,,54,,,4,,,1,,2,,,,,,,17,3,1,,,,,,1,,,7,,2,,5,2,,,,,,,,,1,13,,3,,,1,,,,,,,1,,76,,1,17,,,,,1,,7,40,12,18,4,2,,1,11,1,1,1,,3,5,2,,,,,1,,,,7,,,1,,,1,,
576.5,6743435,,,,4,4,,2,,,2,,40,,,4,,,,,,,,2,,,,16,3,2,,,,1,,1,,,17,,,,2,,,,,,1,,,,5,11,,1,,,1,,,,,,1,2,,82,,1,27,,,,1,1,,5,31,10,22,5,,,,3,,1,2,,,10,3,,,,,2,,1,,6,2,,3,4,,,,
586.5,6805174,,,2,2,3,,9,,1,,1,45,,,4,2,,1,,5,,,1,,,,16,2,2,,,,,,,,,15,,3,,3,1,,,3,,,,,,1,10,,,,,,,,,,,,1,,83,,,12,,,,,,,4,30,12,15,3,4,,,7,1,2,2,1,1,5,2,,,,,1,,,,6,2,1,3,3,,1,,
596.5,6866913,,1,,2,4,,11,,,2,,58,1,,2,,,1,,3,,,4,,,,23,3,4,,,2,,,1,,,21,,1,,3,1,,,,,,,,,4,10,,,,,,,,,,,,,,76,,,17,,,,,2,,2,28,8,15,1,1,,,4,1,2,2,,1,7,,,,,,1,,1,,7,3,,1,4,,1,,
606.5,6928652,,1,1,1,1,,7,,,1,,43,1,,4,,,,,1,,,,,,,19,1,1,,,2,,,1,,,21,,1,,3,,,1,2,,,,,,7,10,,1,,,2,,,,,,,,,85,1,1,11,,,,1,2,2,3,40,8,4,4,1,,1,6,,,5,3,,12,1,,,,,,,1,,3,,,2,1,,2,,
616.5,6990391,,,,2,8,,7,,,1,2,51,,,3,,,,,1,,,1,1,,,17,4,1,,,,1,,1,,,16,,1,,3,1,,,1,,1,,,,2,9,,2,,,,,,,,1,,,,91,1,,11,,,,,1,,4,28,8,17,3,4,,,5,1,,5,,2,6,2,,,,,1,1,1,,5,1,,2,4,1,,,
626.5,7052.13,,,1,3,6,,3,,,2,,41,,,,,,2,,,,,1,,1,,21,3,,,,,,,,,,15,,1,,1,,,,3,,1,,,,5,6,,8,,,1,,,,,,,,,127,,,11,,,,,,,,20,8,21,,1,,1,6,1,,2,,,2,3,,,,,1,,,,5,1,,,,,,,
636.5,7113.87,,,2,2,7,,7,,,,1,52,,,4,,,1,,2,,,6,1,1,,19,1,4,,,,,,,,,14,,,,3,,,,3,,1,,,,3,13,,2,,,1,,,,1,,,1,,78,,,13,,,,3,,,1,24,3,3,5,2,,1,5,2,,,,1,,1,,,,,2,,,,6,3,,1,1,1,,,
646.5,7175609,1,,,2,3,,4,,,,,53,,,2,,,,,1,,,,,,,15,2,1,,,1,,,1,,,31,,2,,1,,,,,,,,,,1,20,,1,,,,,,,,,1,,,85,1,,12,,,,1,2,,2,28,10,24,3,2,,1,4,,,1,,1,3,1,,,1,,2,,,,4,,,,1,,1,,
656.5,7237348,,,2,1,2,,6,,,2,1,41,,,1,,,1,,2,,,,,,,23,,1,,,,1,,,,,18,,2,,,,,,,,,,,,3,11,,1,,,,,,,,,,,,114,,,5,,,,,1,,1,30,6,12,3,1,,,7,,,2,,1,2,1,,,,,1,,,,2,1,,,9,,,,
666.5,7299087,,,1,2,4,,8,,,2,,59,,,5,,,,,3,,,,1,,,11,2,2,,,,,,,,,15,,,,,1,,1,,,,,,,1,8,,,,,1,,,,,,,1,,72,1,,10,,,,1,,,2,28,18,40,6,,,,10,,,3,,3,5,3,,,,,,,1,,10,3,,2,1,,1,,
676.5,7360826,,,,1,2,,2,,,,,27,,,,,,,,,,,2,,,,28,,2,,,1,,,,,,9,,,,8,,,1,,,,,,2,3,3,,1,,,,,,,,,,,,116,,,8,,,,4,,,,18,12,21,,6,1,,2,1,,5,,,4,,,,,,,,2,,4,,,2,4,,,,
