depth,age,abies,acer,aconitum,alchemilla,alnus incana-type,alnus viridis,amaranthaceae,anemone nemorosa-type,apiaceae,artemisia,asteroideae,bartsia-type,betula,bistorta officinalis,boraginaceae,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabaceae,carpinus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea nigra-type,centaurea scabiosa,cichorioideae,circaea,corylus,cystopteris fragilis,daphne-type,dryas-type,dryopteris-type,echium,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,fabaceae,fagus,filipendula,fraxinus,genista-type,gentiana purpurea-type,geranium,geum-type,globularia,hedera,helianthemum,homogyne-type,hypericum,juglans,juniperus,juniperus,knautia,larix,larix,liliaceae-type,lilium martagon-type,lonicera,mentha-type,menyanthes trifoliata,mercurialis,micranthes stellaris-type,odontites-type,olea,onobrychis,ononis-type,picea,pinus,pinus cembra,pinus sylvestris-type,plantago,plantago alpina,plantago atrata-type,plantago lanceolata-type,plantago major-type,poaceae,poaceae (cerealia),polypodium,potamogeton,potentilla-type,primulaceae,pteridium aquilinum,pteridophyta (monolete) undiff.,quercus,ranunculaceae,ranunculus-type,rhinanthus,rosaceae,rubiaceae,rumex-type,salix,sambucus nigra-type,sample quantity,sanguisorba officinalis,saxifraga oppositifolia-type,scabiosa,scrophulariaceae,secale,sedum-type,selaginella selaginoides,sorbus,sparganium-type,teucrium,thalictrum,tilia,trifolium-type,trollius europaeus,ulmus,urtica,valeriana,varia,viburnum
180,3006.72,66,2,,,43,147,1,,2,5,1,,63,,,2,3,,,4,,,1,,,,,6,,24,,,,,,,,,1,,21,1,1,1,2,,,,,,,,,6,,,10,,,,,,,,,,,,,156,,76,199,,8,,,,88,2,1,34,1,,,9,33,3,1,,3,,6,1,,1,,,,,,,2,,,,,1,,,,3,,2,
185,3111.82,49,2,,,13,100,1,,1,10,1,,41,,,,,,,2,,,,,,,,2,,29,,,,,,,,,,,17,1,,,3,,,,,1,,,,5,,,20,,,,,,,,,1,,,,186,,55,191,1,5,,,,64,,,17,,,,3,35,1,1,,3,,4,1,,1,,,,,,,6,,,,1,,,,6,3,,,
190,3330.07,75,4,,,43,81,3,1,1,19,2,,65,,,1,,,,1,1,,1,,,,,4,,27,,,,,,,,,,,23,1,1,,2,,,,,,,,,18,,,22,1,,,,,,1,,,,,,126,1,111,202,,10,,,,89,2,,18,,,,6,22,7,,,3,1,8,1,,1,,1,,1,,,1,,,,,1,1,,6,3,,2,
194,3504.66,64,4,,,21,65,,,1,11,1,,41,,,,,,,,,,,,,,,,,22,,,,,,,,,1,,16,,,,1,,,,,1,,,,4,,,8,,,,,,,,,,,,,126,,66,210,3,7,,,,71,1,,8,,,4,7,35,3,,,4,1,6,2,,1,,1,,,,,,,2,,,,,,4,2,,1,
198,3679.26,92,5,,,30,24,,,2,7,,1,64,,,,,,,1,1,,3,,,,,6,,27,,,,2,,,,,1,,39,1,1,,6,,,,,,,,,7,,,20,,,,,,,,,,,,,66,,131,233,1,,,,,86,3,,36,1,,3,7,59,7,,1,3,,11,,,1,,1,,,,,2,,2,,2,,,,9,2,,4,
210,4203.04,138,,,,16,8,1,1,6,6,2,,97,,,,1,,,3,,,1,,,,,4,,39,1,,,,,,,,1,,26,1,2,,4,1,,,,,,,,7,,,15,,,,,,1,,,,,,,20,,180,231,,2,1,,,71,,,45,,,3,5,54,6,,,4,,7,4,,1,,1,,,,,1,,3,,,2,,,13,1,,7,
215,4421.28,105,5,1,,12,2,,1,6,7,2,,68,,,2,,,,1,,,1,,,,,1,,17,,,,3,,,,,,,18,,2,,,,,,,,,,,2,,,10,,,,,,1,,,1,,,,37,,188,282,,,,,,70,,,35,,,8,7,36,5,1,,2,,3,1,,1,,,,,,,1,1,3,,1,3,,1,14,,,,
220,4639.53,77,4,,,22,5,1,,5,2,1,,122,,,2,2,,,4,1,,,,,,,2,,34,,,,,,,,,1,,21,,5,,3,,,,,,,,,8,,,9,,,,,,,,,,,,,8,1,240,231,,,,,,75,,,59,,,,13,49,7,,,5,,7,2,,1,,,,,,,2,,5,,1,3,2,,18,1,,5,
223,4770.45,69,4,,,25,1,1,1,11,9,1,,63,,,,,,,4,,,,,,,,2,,18,,,,3,,,,,1,1,8,,1,,1,,,,,1,,,,4,,,9,,,,,,,,,,,,,10,3,218,332,,2,,,,71,,,17,,,8,12,21,1,1,,1,,3,3,,1,,1,,,,1,2,,1,,1,2,,,21,1,,1,
225,4857.73,130,4,,,19,3,1,1,3,7,,,42,,,,,,,3,,,1,,,,,5,,20,,,,,,,,,1,,9,,1,,1,,,,,,,,,2,,,6,,,,,,,,,,,,,3,,261,303,,,,,,74,,,29,,,2,8,19,3,1,,,,5,1,,1,,,,,,,1,1,3,,1,3,,,12,,,,
229,5134.3,120,11,,,20,,,1,8,8,1,,91,,,,2,,,5,,,,,,,,2,,42,,,,1,,,,,,,9,1,6,,2,1,,,,,,,,5,,,25,,,1,1,,1,,,,,,,1,,235,288,,,,,,89,,,36,,,5,6,28,1,,1,4,,1,10,,1,,,,,,1,,1,1,,2,3,,,30,,,1,
230,5222.83,80,1,,,12,4,1,,12,10,2,,127,,,,,,,3,,,2,,,,,3,,46,1,,,2,,,,,,,11,3,6,,20,,,,,,,,,4,,,15,,,,,,,,,,,,,1,2,230,196,,3,,,,140,,1,99,1,,,7,29,7,1,,7,2,6,2,,1,,1,,,,,1,,2,,,2,,,35,3,,5,
231,5315.43,71,3,,,18,,,1,7,5,1,,83,,,,1,,,3,,,,,,,,6,,24,,,,2,,,,,,,2,,7,,,1,,,,,,,,2,,,12,,,,,,2,,,1,,,,2,,231,363,1,,,,,92,,,45,,,3,3,31,1,,,1,1,6,,,1,,,,,,1,,3,1,,5,,,,21,2,,1,
