depth,age,abies,acer,achillea-type,alisma,alnus glutinosa-type,alnus viridis-type,amaranthaceae,anemone-type,anthericum,anthoceros,apiaceae undiff.,arctostaphylos,artemisia,asteroideae undiff.,betula,boraginaceae,botrychium,brassicaceae,bupleurum-type,calluna,caltha-type,calystegia,campanulaceae,carpinus,caryophyllaceae undiff.,castanea,centaurea cyanus,centaurea jacea-type,centaurea scabiosa-type,cerastium-type,cichorioideae,cirsium-type,cladium,convolvulus arvensis,cornus sanguinea,corylus,dianthus-type,dryas-type,empetrum/rhododendron subsect. ledum,ephedra distachya,ephedra fragilis,epilobium,ericaceae undiff.,euonymus,euphorbia,fabaceae undiff.,fagopyrum,fagus,ficaria verna-type,filipendula,frangula,fraxinus,genista-type,geraniaceae,geum-type,gypsophila,hedera,helianthemum,heracleum-type,hippophaë,hippuris,hordeum-type,humulus/cannabis,hydrocotyle,hypericum-type,hystrix,ilex aquifolium,impatiens,jasione,juniperus,knautia,lamiaceae,lemnoideae,lotus,melampyrum,menyanthes,mercurialis perennis,myriophyllum spicatum,onobrychis-type,ononis-type,ophioglossum,papaver argemone,papaver-type,parnassia,persicaria amphibia,persicaria maculosa-type,picea,pinus,plantago lanceolata,plantago major/p. media,plantago maritima-type,plantago undiff.,poaceae,poaceae (cerealia-type) undiff.,polygonum aviculare,populus,potentilla-type,poterium sanguisorba,quercus,ranunculaceae undiff.,ranunculus acris-type,ranunculus sect. batrachium-type,rhamnus cathartica,rhinanthus-type,rosaceae undiff.,rubiaceae,rumex acetosa-type,rumex subg. rumex,sagina,salix,sambucus,sanguisorba officinalis,scabiosa,scirpus-type,scleranthus annuus,scleranthus perennis,scrophulariaceae,secale,sedum,selaginella selaginoides,silene-type,solanum dulcamara,sorbus-type,stachys-type,stratiotes,succisa,symphytum,taxus,thalictrum,thelypteris,tilia,trifolium-type,trollius-type,ulmus,urticaceae,vaccinium-type,valerianoideae,varia,verbena,viburnum,vicia-type,viscum,xanthium
1082,10002,,,,,178,,,1,,,,,2,1,136,,,,,4,,,,,,,,,,,1,,,,,131,,,,,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,818,,,,,38,,,6,,,74,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,15,,,35,,,,,,,,,
1089,10058,,,,,166,,,,,,1,,4,1,139,,,,,3,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,2,859,,,,,32,,,3,,,81,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,18,,,31,,,,,,,,1,
1096,10114,,,,,253,,,,,,,,4,,193,,,,,5,,,,,,,,,,,2,,2,,,198,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,700,,,,,50,,,6,,,61,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,17,,,51,,,,1,,,,,
1103,10170,,,,,200,,,,,,,,4,1,131,,,,,5,,,,,,,,,,,,,,,,247,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,738,,,,,35,,,5,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,,,44,,,,1,,,,1,
1110,10226,,,,,225,,,,,,,,2,,142,,,,,6,,,,,,,,,,,,,2,,,252,,,,,,,,,,,,,,2,,4,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,770,,,,,32,,,2,,,96,,1,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,15,,,47,,,,,,,,1,
1117,10282,,,,,215,,,,,,1,,3,1,135,,,,,4,1,,,,,,,,,,,,1,,,282,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,773,,,,,38,,,10,,,88,,,,,,,1,,,,2,,,,,,,1,,,,,,,,,,,,3,,22,,,45,,,,,,,,,
1123,10330,,,,,200,,,,,,,,4,,149,,,,,7,,,,,,,,,,,,,1,,,239,,,,,,,1,,,,,,,,,4,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,829,,,,,55,,,4,,,97,,,,,,,1,2,,,4,,,,,,,,,1,,,,,,,,,,3,,10,,,25,,,,,,,,2,
1130,10386,,,,,168,,,,,,,,3,,146,,,,,11,,,,,,,,,,,1,,1,,,232,,,,,,,,,,,,,,2,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,887,,,,,29,,,6,,,94,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,6,,,43,,,,,,,,,
1137,10441,,,,,139,,1,,,,,,2,,143,,,,,3,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,3,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,799,,,,,31,,,4,,,73,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,6,,,32,,,,,,,,,
1144,10497,,,,,136,,,,,,,,2,,125,,,,,3,,,,,,,,,,,,,3,,,139,,,,,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,24,,,5,,,59,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,13,,,,,,,,,
1151,10553,,,,,131,,,,,,,,1,1,140,,,,,5,,,,,,,,,,,,,2,,,203,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,950,,,,,33,,,5,,,111,,,,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,25,,,,,,,,,
1158,10609,,,,,145,,,,,,,,,,128,,,,,3,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,914,,,,,39,,,3,,,77,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,1,,4,,,25,,,,,,,,1,
1165,10665,,,,,154,,,,,,,,1,,135,,,1,,5,,,,,,,,,,,1,,3,,1,281,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,839,,,,,55,,,3,,,79,,,,,,1,1,2,1,,7,,,,,,,,,,,,,,,,,,,,,5,,,28,,,,1,,,,1,
1172,10721,,,,,145,,,,,,1,,1,,149,,,,,2,,,,,,,,,,,1,,2,,,245,,,,,,,,,,,,,,1,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,956,,,,,33,,,5,,,72,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,2,,7,,,10,,,,1,,,,1,
1179,10777,,,,,84,,,,,,1,,2,1,117,,,,,3,,,,,,,,,,,,,2,,,240,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,988,,,,,46,,,2,,,73,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,8,,,29,,,,,,,,,
1186,10833,,,,,54,,,,,,,,4,,182,,,,,4,,,,,,,,,,,1,,3,,,377,,,,,,,,,,,,,,,,2,,,,,2,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,1,872,,,,,48,,,5,,,73,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,3,,6,,,29,,,,,,,,1,
1193,10889,,,,,10,,,,,,2,,3,,202,,,,,3,,,,,,,,,,,,,2,,,369,,,,,,,,,,,,,,1,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1164,,,,,68,,,4,,,78,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,22,,,,2,,,,,
1200,10944,,,,,14,,,,,,1,,3,,201,,,,,4,,,1,,,,,,,,,,4,,,389,,,,,,,,,,,,,,1,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,933,,,,,45,,,9,,,71,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,2,,,22,,,,,,,,,
1207,11000,,,,,10,,1,,,,,,3,1,209,,,1,,3,,,,,,,,,,,,,4,,,368,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1064,,,,,53,,,5,,,51,,,,,,,1,,1,,4,,,,,,,,,,,,,,,,,,,,,1,,,23,,,,,,,,1,
1214,11049,,,,,2,,1,,,,1,,4,,292,,,,,6,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,3,1,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1,937,,,,,66,,,15,,,58,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,1,,1,,,27,,,,,,,,,
1221,11091,,,,,4,,,,,,,,1,1,215,,,,,4,,,,,,,,,,,1,,5,,,366,,,,,,,,,,,,,,3,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1061,,,,,48,,,12,,,44,,,,,,,,1,1,,5,,,,,,,,,,,,,,,,,,,,,1,,,26,,,,1,,,,,
1228,11133,,,,,3,,3,,,,,,4,1,229,,,,,7,,,,,,,,,,,,,4,,,369,,,,,,,,,,,,,,1,,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,42,,,6,,,39,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,4,,1,,,20,,,,,,,,,
1238,11194,,,,,1,,,,,,1,,4,,246,,,,,10,,,,,,,,,,,3,1,6,,,265,,,,,,,,,,,,,,2,,,,,,,5,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,1147,,,,,41,,,21,,,13,,,,,,,1,1,,,8,,,,,,,,,,,,,,,,,,,2,,,,,23,,,,,,,,,1
1245,11236,,,,,1,,1,,,,,,6,,254,,,,,6,,,,,,,,,,,1,,6,,,245,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1448,,,,,71,,,22,,,11,,,,,,,2,3,,,14,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,1,,,
1252,11278,,,,,,1,2,,,,,,4,,268,,,,,,,,,,,,,,,,2,,7,,,200,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,1278,,,,,67,,,31,,,12,1,,,,,,2,1,,,9,,,,,,,,,,,,,,,,,,,1,1,,,,18,3,,,,,2,,,
1259,11320,,,,,,,1,,,,,,5,,274,,,,,3,,,,,,,,,,,1,,10,,,241,,,,,,,,,,,,,,2,1,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,1,,,,,,1,992,,,,,58,,,20,,,8,,,,,,,,2,,,13,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,
1266,11363,,,,,,,,,,,2,,6,,242,,,,,5,1,1,,,,,,,,,,,3,,,180,,,,,,,,,,,,,,6,,,,,,,,,,,,,8,,,,,,,1,,,,,2,,,,,,,,,,,,,1394,,,,,90,,,20,,,5,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,3,,,,,17,4,,,,,,,,
1273,11405,,,,,1,,1,,,,,,1,,249,,,,,1,,,,,,,,,,,,,4,,,125,,,,,,,,,,1,,,,4,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,1530,,,,1,54,,,33,,,5,,,,,,,,1,1,,15,,,,,,,,,,,,,,,,,,,1,,,,,10,1,,,1,,,,,
1280,11447,,,,,,,,,,,1,,4,,259,,,,,1,,,,,,,,,,,1,,1,,,100,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,1,1750,,,,,74,,,21,,,4,,,,,,,3,,,,12,,,,,,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,
1287,11490,,,,,,,,,,,1,,3,,292,,,,,4,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,1287,1,,,,73,,,13,,,1,,,,,,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,
1294,11532,,,,,,,1,,,,,,3,,171,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,38,,,11,,1,,,1,,,,,4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
1299,11562,,,,,,,,,,,,,3,1,168,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,555,,,,,34,,,5,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
1304,11592,,,1,,,,,,,,,,1,,152,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,565,,,,,39,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,
1309,11623,,,,,,,,,,,,,2,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,545,,,,,39,,,10,,,,,,,,,,,1,,,9,,1,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,
1314,11653,,,,,,,,,,,1,,4,,276,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,550,,,,,59,,,5,,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
1319,11683,,,,,1,,2,,,,,,4,,315,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,530,,,,,71,,,12,,,,,,,,,,1,1,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1324,11713,,,,,,1,2,,,,1,,1,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,540,,,,,64,,,5,,,,,,,,,,1,1,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1329,11744,,,,,1,,2,,,,1,,3,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,545,,,,,164,,,2,,,,,,,,,,,2,,,15,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,
1334,11774,,,,,,,,,,,4,,1,,114,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,550,,,,,78,1,,12,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,1,2,,,,,,,,
1339,11804,,,1,,,,1,,,,3,,4,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,525,,,,,33,,,1,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1344,11834,,,,,,,1,,,,3,,6,,137,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,520,,,,,57,,,,,,,,,,,,,,1,,,4,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
1349,11864,,,1,,,,,,,,2,,9,,125,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,14,,,,,,,,,,,,,,1,,,,670,,,,,36,,,,,,,,,,,,1,2,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,
1354,11895,,,,,2,,3,,,,,,23,,290,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,50,,,,,,,,1,,,,,,,,,,503,,,,,59,,,,,,,,,3,,,2,2,2,,,22,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
1359,11925,,,2,,,,4,,,,,,24,,167,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,35,,,,,,,,2,,,,,,,,,,540,,,,,43,1,,1,,,,,,2,,,1,,4,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1364,11955,,,,,,,2,,,,1,,31,,160,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,68,,1,,,,,,,,,,,,1,,,,587,,,,,75,2,,,,,1,,,,,,,3,11,,,14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1369,11985,,,1,,1,,2,1,,,3,,18,1,250,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,563,,,,,54,1,,1,,,,,,,,,,1,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
1374,12016,,,4,,1,,5,,,,,,47,2,280,,,,,1,,,,,1,,,,,,2,,,,,1,,1,2,,,,3,,,,,,,3,,,,,1,,,3,,,,,,,,1,1,,,162,,,,,,,,,,,,,,,,,,515,,,,,111,3,,1,,,1,,,,,,,2,7,,,21,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,1,,,,,
1379,12046,,,,,,,4,,,,,,21,,115,,,,,,,,,,,,,,,1,1,,,,,,,,3,,,1,2,,,,,1,,1,,,,,,,,,,,,,,,,6,1,,,119,,,,,,,,,,,,,,,,,,575,,1,,,40,,,2,,,,,,1,,,,1,1,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1384,12076,,,,,2,,2,,,,2,,19,,187,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,43,,,,,,,,,,,,,,,,,1,540,,,,,84,,,,,,1,,,,,,,2,3,,,16,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
1389,12106,,,1,,,,,,,,1,,16,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,1,2,,,28,,,,,,,,,,,,,,,,,,535,,1,,,74,,,3,,,2,1,,,,,,1,1,,,12,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,1,,,,,
1394,12136,,,,,1,,,,,,,,6,,301,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,518,,1,,,66,,,12,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,
1399,12167,,,,,,,3,,,,1,,11,,265,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,1,528,,1,,,85,,,3,,,2,1,,,,,,,4,,,13,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
1405,12203,,,,,,,4,,,,1,,26,1,164,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,19,,,,,,,,,,,,,,,,,1,540,,,,,78,,,,,,3,,,1,,,,1,7,,,12,,,,,,,,,,,,,,,,,,,1,,,,,2,2,,,1,,,,,
1410,12233,,,,,,,5,,,,3,1,41,,154,,,1,,3,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,2,530,,,,,91,,,,,,,,,,,,,1,,,,15,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,
1414,12257,,,,,,,2,,,,,,6,1,146,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,550,,,,,68,,,,,,,,,,,,,1,3,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1419,12287,,,1,,1,,1,,,,3,1,14,,150,,,,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,2,545,,,,,49,,,,,,1,,,1,,,,1,1,,,2,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
1424,12318,,,1,,,,1,,,,1,,12,,357,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,1,,,4,,,,,,,,1,,,,,,,,,,474,,,,,90,,,5,,,1,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1429,12348,,,,,,,1,,,,1,,4,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,,1,,,55,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,12378,,,,,1,,,,,,,,6,1,425,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,432,,,,,46,,,4,,,,,1,,,,,1,1,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1439,12408,,,,,,,,,,,1,,6,,468,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,387,,1,,,72,,,7,,,,,,1,,,,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,12439,,,,,,,1,,,,2,,7,1,305,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,560,,,,,58,,,2,,,,,,1,,,,,1,,,11,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,
1449,12469,,,,,,,,,,,,,9,,322,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,540,,,,,61,,,3,,,,,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
1454,12499,,,,,1,,1,,,,1,,8,,209,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,545,,1,,,47,,,1,,,1,1,,,,,,,1,,,15,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
1459,12529,,,,,,,1,,,,,,9,,125,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,565,,2,,,43,,1,1,,,1,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,
1464,12559,,,,,,1,,,,,1,,6,,155,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,,,,,36,,,1,,,,1,,,,,,1,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1471,12602,,,1,,,,1,,,,,,8,,198,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,2,568,,,,,84,1,,7,,,1,,,,,,,,1,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1476,12632,,,,,,,,,,,1,,9,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,614,,,,,69,,,3,,,,1,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,
1481,12662,,,,,,,,,,,1,,5,,211,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,675,,,,,61,1,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,
1486,12692,,,,,1,,,,,,,,10,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,550,,,,,41,,,3,,,1,,,,,,,1,1,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
1491,12723,,,,,,,,,,,3,,12,,217,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,565,,,,,50,,,,,,1,,,,,,,,2,,,23,,,,,,,,,,,,,,,,,,,4,,,,,1,1,,,,,,,,
1496,12753,,,,,,,1,,,,2,,3,,185,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,540,,,,,27,,,3,,,1,,,,,,,1,1,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
1501,12783,,,,,,,,,,,1,,11,,254,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,,550,,,,,37,,,5,,,,,,,,,,1,,,,14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1506,12813,,,,,1,,,,,,1,,5,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,545,,1,,,37,1,,1,,,,,,,,,,1,1,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1511,12843,,,,,,,,,,,1,,8,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,521,,1,,,40,1,,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,
1514,12862,,,,,,,1,,,,1,,10,1,171,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,557,,,,,70,1,,1,,,1,,1,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1520,12900,,,,,,,1,,,,1,,7,,323,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,545,,,,,68,1,,3,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1524,12922,,,,,,,,,,,2,,6,,155,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,540,,,,,48,1,,3,,,1,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
