depth,age,abies,acer,agrimonia-type,alisma-type,alnus,amaranthaceae,anemone-type,anthoceros punctatus,apiaceae,artemisia,asteraceae undiff.,avena-type,betula,bidens-type,brassicaceae,calluna vulgaris,caltha-type,campanulaceae undiff.,carpinus betulus,caryophyllaceae undiff.,centaurea cyanus,centaurea jacea-type,centaurea scabiosa,cerastium-type,cichorioideae,circaea,cirsium-type,comarum palustre,convolvulus arvensis-type,corylus,crataegus-type,cyperaceae,empetrum-type,ericaceae-type,fabaceae undiff.,fagopyrum,fagus,fallopia,filipendula,frangula alnus,fraxinus excelsior-type,galeopsis-type,galium-type,genista-type,geranium,hedera helix,hordeum-type,humulus/cannabis-type,hypericum,hystrix,jasione-type,juglans,juniperus-type,lamiaceae undiff.,linum usitatissimum-type,lonicera periclymenum,lotus pedunculatus,lythrum,matricaria-type,melampyrum,melilotus-type,mentha-type,menyanthes trifoliata,mercurialis perennis-type,myriophyllum spicatum,nuphar,nymphaea candida,nymphaea undiff.,ononis-type,ophioglossum,pediastrum,persicaria maculosa-type,picea,pinus,plantago lanceolata-type,plantago major/p. media-type,plantago maritima-type,poaceae (>37 µm),poaceae (cerealia-type) undiff.,poaceae undiff.,polygonum aviculare-type,polypodiaceae undiff.,polypodium vulgare,potamogeton-type,pteridium,quercus,ranunculaceae undiff.,ranunculus acris-type,rhamnus-type,rhinanthus-type,rosa-type,rosaceae undiff.,rubus-type,rumex acetosa-type,salix,sambucus-type,scleranthus annuus,secale,silene-type,solanum dulcamara,solanum nigrum-type,sorbus-type,sparganium-type,sphagnum,stellaria holostea,succisa-type,taxus,thalictrum,thelypteris palustris,tilia cordata-type,tilia platyphyllos-type,trifolium pratense-type,trifolium repens-type,triticum-type,ulmus,urtica-type,utricularia,vaccinium-type,valeriana-type,viburnum-type
432,1770593,,1,,,279,1,,,,,,,152,,,1,,,20,,,,,,1,,,,,213,,4,1,,,,28,,1,,8,,2,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,16,,1,29,4,,,,,31,,5,,,1,84,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,4,,,,,1
464,1902186,2,,,,193,2,,,,17,,,132,1,1,28,,,28,1,,1,,,4,,,1,,141,,21,,,,,23,,1,,,1,1,,,1,2,1,,,1,,,,,,,,1,,,,,1,,,,4,,,147,,,63,27,,,,,179,1,5,,1,1,177,,2,,,,,,16,2,,,,,,,,,,,,,,,4,,,1,,12,,,,,
496,2033.78,1,,,,121,4,,,1,17,,,105,,2,23,,,13,,,,,1,7,,,1,,121,,19,,,,,38,,2,,3,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,2,,,154,,1,116,14,1,,,1,145,,15,,,1,150,,1,,,,,,18,1,,,,,,,,4,,,,,,,7,,,,3,7,,,,,
528,2165373,1,,,,137,5,,,,9,,,111,1,4,19,,,8,,,1,,1,2,,,,,150,,16,,,,,12,,2,,4,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,117,1,2,120,24,1,,1,1,134,,13,,1,1,123,,2,,,,,,17,3,,,2,,,,,1,,,1,,,1,1,,,,1,9,,,,1,
544,2231169,1,,,1,175,4,,1,,26,,,99,,1,15,,,7,,,,,,4,,1,,,111,,20,,,,,18,,1,,10,,,,,1,,2,,1,,,,,,,,1,1,,,,,,,,,2,,,93,1,2,96,32,,,1,1,186,,18,,,11,135,,1,,,,,,13,,,,,1,,,,,1,,,,1,,7,,,,,8,,,,,2
560,2296966,1,,,,266,12,,,,20,1,,129,,2,10,,,12,,,,,1,3,1,,,,136,,14,,,,,23,,,,7,,,,,,2,,,,,,,,,,,,1,,,,,,,,,2,,,169,,2,89,32,1,,,1,155,,14,,,3,59,,2,,,,,,16,1,,,1,,,1,,3,1,,,,1,1,7,,,1,,12,1,,,,
576,2362763,1,1,,,213,4,,,,17,,,123,1,,9,,,11,,,,,,1,,,,,86,,18,,,,,13,,1,,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,51,,1,73,23,1,,2,1,120,,9,,,7,84,,3,,,2,,,20,,1,,,,,,,1,,,,,,,5,,,,,5,1,,,,2
592,2428559,1,,,,239,2,,,,16,,,114,2,1,9,,,3,,,,,1,1,,,,,90,,17,1,,,,20,,1,,5,,,,,,,1,1,,1,,,,,,,,1,,,,,,,,,2,,,99,,2,110,25,,,,2,92,,13,,,5,93,,2,,,,,,12,2,1,,,,,,1,2,,,,,,,4,,,,,3,,,,1,1
608,2494356,1,,,1,273,1,,1,2,8,,,165,,1,4,,,5,,,,,,,,,,,90,,6,,,,,12,,,,10,,,,,1,,4,,,,,,,,,,,,,1,1,,1,,,,2,,,19,,2,49,12,,,1,2,64,,5,,,,99,,,,,,,,8,1,1,,,,,,,,,,,,,,3,,,,,5,,,,,
624,2560153,,,,,195,1,,,,5,,,160,,1,12,,,6,,,1,,,1,,,,,61,,9,,,,,17,,,,2,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,,26,,2,39,11,,,,,69,,4,,,1,110,,,,,,1,,4,,,,,,,,,1,,,,,1,1,1,,,,,3,,,,,
640,2625949,,,,,151,4,,,,24,,,79,,5,10,1,,8,,,1,,,5,,,,,130,,28,,,,,22,,,,5,,1,,,,1,,,,1,,,,,,,1,,,2,,,,,,,2,,,66,,2,83,35,,,,1,160,,7,,,,182,,1,,,,1,,17,2,,,,,,,1,2,1,,,1,1,,3,,,,,14,,,,,3
656,2691746,,,,,122,5,,,,11,,,59,,5,5,,,14,,,1,1,,3,,,,,141,,10,,,,,19,,2,1,4,,1,,1,,2,1,,,1,,,,,,,,,,,,,,,,,1,,,60,,,102,24,,,1,,120,1,7,,,1,173,,3,,,1,,,16,,,,,,,,1,2,,,,,,1,9,,1,,,12,,,,,
672,2757542,2,1,,,123,2,,,1,9,,,96,1,4,3,,,8,,,1,,1,2,,,,,154,,14,,,,,21,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,130,,,125,26,,,1,2,61,,5,,,5,160,,6,,,,,,11,2,,,,1,,,1,,1,,,,,,8,,,,,7,,,,,
720,2954932,2,,,,195,7,1,,1,13,,,59,,,4,,,4,1,,1,,,2,,,,,437,,7,,,,,18,,,,18,,1,,,,1,2,,,1,,,,,,,,,,,2,,,,,,2,,,52,,1,69,28,1,,,,74,,4,,,3,145,1,,,,,2,,4,2,,,1,,,,1,,1,,,,,,51,,,2,2,15,,,,,
752,3086525,,10,,,158,1,,,1,6,1,,141,2,,2,,,18,,,2,,,2,,,,,387,,3,,,,,13,,3,,28,,,,,1,,2,,,1,,,,,,,,,,,1,,,,,,2,,,27,,2,47,5,,,,,42,,3,,,1,179,,,,,,,,2,1,,,,1,,,1,1,,,,,1,1,22,,,,,29,,,,,
784,3218119,,1,,,190,1,,,,5,,,80,,,8,,,11,,,,,,,,,,,464,,2,,,1,,10,,,1,25,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,1,,,14,,2,43,7,1,,,,33,,,,,,185,,1,,,,,,3,2,,,,,,,,,,,,,,,7,,,,1,13,,,,1,
816,3349712,,,,,210,,,,,1,,,216,,,5,,,5,,,,,,,,,,,190,,3,,,,,5,,,1,24,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,10,,2,40,4,,,,,30,,2,,,2,152,,,,,2,,,2,,,,,,,,,1,,,,,,,3,,,,,14,,,,,
848,3481305,1,,,,172,2,,,2,4,,,99,,,8,,,13,,,,,,1,,,,,213,,10,,,,,11,,1,,6,,1,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,1,44,,2,86,11,,,,,93,,11,,,4,145,,,,,,,,8,,,,,,,,,,1,,,,,,5,,,2,,10,1,,,,
880,3621936,1,,,,209,1,,,1,5,,,125,2,,7,,,7,,,1,,,2,,,,,253,,7,1,,,,6,,1,,11,,1,,,,1,2,,,,,,,,,,,1,,,,,,,,,1,,,41,,2,90,7,1,,3,,74,,16,,,3,172,,,,,,,,2,10,,,,,,,,3,1,,1,,,,6,,,,1,15,,,,2,1
912,3789677,2,,,,238,,,,,13,,,71,,,8,,,6,,,,,,1,,,,,319,,3,,,,,4,1,1,,13,,,,,,3,3,,,2,,,,,,,,,,,,,,,,,,,,21,,2,72,22,,,,,68,,8,,,3,134,,1,,,,,,17,3,,,,,,,1,2,,,,,,1,8,,,,,15,,,,,
944,3957419,2,1,,,314,1,,,,12,,,101,,,7,,,5,,,,,1,2,,,,,256,,3,1,,1,,2,,3,,14,,,,,1,,2,,,,,,,,,,,2,,,,,,,,,1,,,19,,1,31,14,,,,2,64,,10,,,3,88,,,,,,1,,9,2,,,,,,,,,2,,,,1,,2,,,,,5,,,,1,
960,4041.29,1,,,,280,2,,,,8,,,108,,,7,,,5,,,,,,2,,,,,316,,7,1,,,,5,,,,8,,,,,1,2,1,,,1,,,,,,,,,,,,,1,,,,1,,,42,,1,68,17,,,,2,78,,13,,,1,104,,1,,,,,,3,,,,,,,,,2,,,1,,1,,9,,,,,7,1,,,,
976,4125161,,1,1,,228,1,,,,14,,,84,2,,3,,,3,1,,,,,2,,,,,224,,7,,,,,4,1,,,11,,2,,,,,4,,,1,,,,,,,,2,,,,,,,,,2,,,37,,2,59,21,1,,,2,130,,6,,,5,108,,,,,,,,12,2,,,,,,,,3,1,,,,,,11,,,,1,12,,,,1,
992,4209032,2,,,,294,6,,,,7,,,104,,,6,,,1,,,,,1,1,,,,,368,,7,1,,,,7,,6,,17,,,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,52,,1,68,44,3,,2,2,129,,16,,,3,119,,1,1,,,,,21,1,,,,,,,,,,,,,,,9,,,,,16,1,,,,
1008,4292903,,,,,246,1,,,1,11,,,85,2,,1,,,,,,,,,2,,,1,,287,,8,,,,,2,,3,,19,,,,,2,,5,1,,,,,,,,,,1,,,,,,,,,1,,1,38,,,56,30,2,,,,142,,5,,,5,85,,1,,,,,,24,4,,,,,,,,1,1,,,,1,,16,,,,,11,2,,,,
1024,4376774,,,,,197,5,,,,3,,,70,,,2,,,1,,,,,,1,,,,,403,,4,,,,,8,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,31,,,80,29,,,,1,87,,11,1,1,4,123,,2,1,,,,,11,,,,,,,,,,,,,,,,12,,,,,13,,,,,
1040,4460645,,,,,309,1,,,1,5,,,71,1,,4,,,1,,,,,,1,,,,,295,,10,,,,,1,,,,18,1,,,,,1,2,,,,,,,,,,,1,,,,,,,,,1,,,20,,2,71,19,,,,2,91,,12,,,7,126,,1,1,,,,,9,4,,,,,,,1,3,3,,,,,1,16,,,,,15,,,,,
