depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
318,8470,,,1,2,6,,,,1,,85,,1,,,,,,,,,78,19,,,,1,,2,,,,,,,,,,,,,29,1,7,,,,,,,1,,,,,,97,,,,24,,,,,,,28,1,,,,3,,,,,,1,,,,,1,1,,,,46,1,,
319,8487,,,,1,5,,,,1,,76,,,1,,,,,1,,,65,20,,1,,,,1,,,,,,,,,,,,,30,4,5,,,,,,,1,,,,,,101,,,,26,,,,,,,27,,,1,,2,1,1,,,,2,,,,,,,,,,34,,,
320,8504,,,1,,7,,1,,1,,70,1,2,1,,,,,1,,,59,22,,,,1,,4,,,,,,,,,,,,,31,2,7,,,,,,,,,,,,,118,,1,,28,,1,,,,,25,1,,,,4,,,,,,,,,,,1,1,,,,25,1,,
321,8521,,,3,1,11,,1,,2,,65,,1,,,,,,2,,,48,20,,1,,,,2,,,,,,,,,,,,,32,5,5,,,,,,,1,,,,,,122,,,,32,,,,,,,22,,,1,,2,,,,,,1,,,,,,,,,,18,,,
322,8535,,,4,1,13,,2,,3,,52,,5,,,,,,4,,,37,21,,1,,,,5,,,1,,,1,,1,,1,,,33,6,7,,,2,,,,2,,,,,,120,,2,,35,,1,1,,,,20,1,,1,,3,2,1,,,,4,2,,,,3,1,,,,16,1,,
325,8589,,,1,1,9,,4,,1,,57,,,,,,,,,,,48,18,,,,,,4,,,,,,,,,,,,,24,,4,,,1,,,,1,,,,,,126,,,,30,,1,,,,,20,7,,,,7,,,,,,,,,,,1,,,,,18,2,,
323,8553,,,2,1,12,,3,,3,,47,,3,1,,,,,2,,,31,20,,1,,,,6,,,,,,,,,,,,,35,,6,,,,,,,,,,,,,118,,,,36,,,,,,,16,,,1,,4,2,,,,,2,,,,,2,,,,,14,,,
324,8571,,,2,,10,,5,,2,,56,1,2,1,,,,,1,,,46,14,,1,,1,,5,,1,,,,,,,,,,,27,,5,,,,,,,1,,,,,,121,,1,,32,,,,,,,17,6,,,,5,,1,,,,3,,,,,,,,,,12,1,,
326,8607,,,,,8,,2,,1,,59,1,1,,,,,,1,,,59,17,,,,1,,5,,1,,,,,,,,,,,18,,3,,,,,,,1,,,,,,109,,1,,28,,,,,,,21,8,,,,4,1,,,,,,,,,,,1,,,,18,3,,
328,8643,,1,1,1,4,,6,,1,,68,,,,,,,,,,,75,21,,1,,1,,8,,,,,,,3,,,,,,22,,4,,,1,,,,,,,,,,103,4,,,24,,,,,,,25,7,,,,4,,1,,,,,,,,,1,,,,,21,4,,
327,8625,,,1,,7,,5,,,,63,,,2,,,,,,,,67,10,,1,,,,6,,,,,,,1,,,,,,17,1,2,,,,,,,1,,,,,,114,,,,29,,,,,,,23,10,,1,,2,2,,,,,1,,,,,,,,,,17,,,
329,8661,,,,,8,,5,,1,,71,,1,,,,,,1,,,80,10,,,,,,12,,1,,,,,2,,,,,,20,,1,,,,,,,1,,,,,,100,2,1,,28,,1,,,,,24,12,,,,7,,,,,,,,,,,,1,,,,24,1,,
330,8679,,,,,11,,7,,,,73,,,1,,,,,,,,89,9,,1,,,,15,,,,,,,4,,,,,,19,1,4,,,1,,,,,,,,,,94,3,,,34,,,,,,,22,15,,1,,9,1,,,,,1,,,,,1,,,,,26,2,,
332,8699,1,2,,1,13,,8,,,,70,,,,,1,,,,,,98,,1,2,,1,,17,1,2,,,,1,5,1,,,,,21,2,4,,,,,,,1,,,,2,,91,5,,,37,,1,2,,3,,24,18,,1,,12,,1,,,,2,,,,,2,2,,1,,25,4,,2
333,8730,,,,,9,,8,,1,,72,,,,,,,,,,,116,2,,,,,,17,,,,,,,3,,,,,,25,3,4,,,,,,,,,,,,,96,2,,,39,,,,,,,27,19,1,,,8,,,,,,,,,,,1,,,,,24,,,
334,8760,,,,1,10,,7,,,,71,,,,,,,,,,,100,1,,1,,,,15,,1,,,,,2,,,,,,29,,3,,,,,,,,,,,,,88,,,,35,,,,,,,25,17,,1,,9,,,,,,,,,,,,,,,,20,,,
335,8791,,,,,12,,5,,,,68,,,1,,,,,,,,90,3,,1,,,,16,,,,,,,,,,,,,33,2,2,,,,,,,,,,,,,85,1,,,41,,,,,,,23,19,1,,,11,,,,,,,,,,,,,,,,23,,,
337,8852,,,,1,11,,8,,1,,71,,,,,,,,1,,,80,3,,,,,,15,,1,,,,,1,,,,,,41,,8,,,,,,,,,,,,,90,,,,32,,,,,,,20,18,,1,,8,,,,,,,,,,,,1,,,,18,,,
336,8821,,,,,12,,6,,,,64,1,,,,,,,,,,87,1,,1,,,,17,,,,,,,,,,,,,37,,5,,,,,,,,,,,,,91,,,,38,,1,,,,,22,20,2,,,10,1,,,,,,,,,,,,,,,21,,,
339,8913,,,,,10,,5,,1,,65,,,1,,,,,,,,70,1,1,,,,,12,,,,,,,,,,,,,37,,8,,,,,,,,,,,,,82,2,,,29,,,,,,,24,21,4,,,5,,,,,,,,,,,,,,,,19,,,
338,8883,,,,,10,,9,,,,73,,,,,,,,1,,,75,2,,1,,,,17,,,,,,,,,,,,,39,1,7,,,1,,,,,,,,,,85,,,,30,,,,,,,25,20,2,,,7,,,,,,,,,,,,,,,,17,,,
340,8944,,,,2,11,,4,,,,63,1,,,,,,,,,,74,3,,,,,,12,,2,,,,,1,,,,,,35,1,9,,,,,,,,,,,,,97,,,,25,,,,,,,22,19,5,,,8,,,,,,,,,,,,,,,,21,,,
341,8975,,,,,8,,8,,,,78,,,1,,,,,,,,80,2,,,,,,11,,,,,,,,,,,,,33,,10,,,1,,,,,,,,,,93,,,,27,,,,,,,22,21,3,1,,7,,,,,,,,,,,,,,,,17,,,
342,9005,,,,,9,,10,,,,75,,,,,,,,1,,,85,1,,,,,,11,,,,,,,,,,,,,31,,9,,,,,,,,,,,,,90,,,,29,,,,,,,21,22,2,,,5,,,,,,,,,,,,1,,,,15,,,
