depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
75,5331,31,,1,6,9,,4,,2,,1,,1,1,,2,,1,6,,,1,2,,1,,1,,10,1,,,,,5,2,6,1,,,1,13,1,17,,1,,,,,,3,,,2,,116,,,,117,,,4,,5,,1,4,4,1,,9,,,,,2,2,,,,1,1,1,,,,3,1,,1
87,5426,43,,4,1,6,3,4,,1,,6,1,,,,1,1,,1,,,10,40,1,1,,3,,8,,2,,,,1,1,1,,,,,6,1,11,,,2,,,,2,1,,,4,,91,,1,,79,,,,,,,6,,1,,,5,1,1,,1,1,1,1,,,,2,1,,1,1,,1,,
99,5521,3,,1,9,9,,5,,4,,5,1,,,,1,,1,19,,,7,163,1,1,,,,8,,1,,,,1,5,,,,,,7,4,8,,,,,1,,,,,,4,,72,,,1,31,,,5,,,,14,1,,1,,7,5,,1,,,1,,,,,1,4,,,,1,2,,3
111,5616,4,,3,1,11,2,2,1,1,,4,1,5,,,1,,1,18,,,14,67,,1,,,3,7,,3,1,,,1,1,,,,,,3,2,12,,,,,,,1,,,,3,,74,1,,,57,,,5,,1,,5,1,5,2,,6,2,,1,,,1,1,,,1,3,1,,2,1,3,2,,1
106,5577,9,,5,6,16,,2,,3,,4,,,,,,,,24,,,13,78,,2,,,,4,,,,1,,1,3,,,,,,6,6,6,1,,,,2,,,1,,,4,,94,,2,,50,1,,1,,,,8,1,,1,,3,5,,,,,2,1,,,,1,2,,2,,3,1,,
118,5672,3,,,1,11,,1,,,,4,,,,,,1,,,,,12,57,1,,,,,10,,,,,,1,,,,,,,5,2,5,,,,,,1,3,,,,1,,45,,,,70,,,2,,5,,7,2,,,,3,4,,,,,3,,,,1,1,1,,1,,2,1,,
135,5810,1,,1,2,8,4,2,,2,,11,1,2,1,,,,,9,,,26,90,,1,,,,6,,3,,,,1,1,,,,,,8,10,8,1,,,,,,2,,,,5,,102,2,1,1,14,,4,4,5,,,5,2,2,1,,6,,1,,,,3,2,,,,3,,,1,,6,5,,
123,5711,3,1,2,2,8,1,8,1,2,,8,3,2,,,1,,,15,,,17,83,1,,,,1,8,,4,1,,,,2,2,,,,,15,8,11,2,,,,,,,2,,,4,,61,,,,30,,,2,,,,5,,,2,,10,1,,1,,,,,,,,3,1,,2,,6,3,,3
91,5458,11,1,2,1,3,2,2,,2,,8,1,,,1,,1,,6,,,11,85,1,1,,,,7,,4,,1,,,,,1,,,,2,2,2,1,,4,,,,1,1,,,2,,86,,,,55,,,2,,,,27,,,,,2,1,2,,,,2,1,,,,,3,,,,5,3,,1
130,5768,7,1,,1,2,1,1,,4,,2,,2,2,,,,,15,,,20,71,,,,1,,11,2,,,,,5,,1,1,,,,4,6,10,,,,,1,,,2,,,2,,86,1,,,35,,1,2,,,,5,1,,2,,7,1,,,1,,3,1,,,,3,,,2,,2,5,,1
139,5835,,1,3,4,9,4,1,4,,,13,,,2,1,,,1,8,,,8,16,,1,,,,8,,1,,,,,,,,,,,35,4,16,,,2,,,,2,1,,,1,3,76,2,4,,60,1,1,1,3,4,,11,1,3,,,4,1,1,,,,3,,,,1,3,10,,,,8,2,,2
153,5952,,,1,1,13,8,4,,4,,6,1,,1,,,,,16,,,21,108,,1,,,3,2,,6,,,,,,,,,,,6,7,3,2,,,1,1,,4,,,,3,,92,,1,,19,,,5,,,,27,1,3,,,4,5,3,,,,2,1,,,,3,3,,1,1,9,3,,
163,6027,1,1,1,1,20,,2,,1,,4,,4,1,,2,,,8,,,24,96,2,,,1,,10,1,1,,,,,2,,,,,1,8,6,11,,,1,1,,,5,1,,,,,30,,,,40,,4,3,,5,,5,1,,1,,11,1,5,,,,4,,,,8,7,17,,,,5,,,3
164,6035,,,,,17,,,,,,4,,2,1,,1,,,6,,,24,101,2,,,,,7,,2,,,,,,,,,,,7,,10,,,,,,,4,,,,,,28,1,1,,39,,2,,,,,5,2,,,,8,,4,,,,,,,,1,5,15,,,,4,,,
165,6043,,,,,18,,,,1,,5,,,1,,,,,4,,,27,102,,,,1,,5,1,1,,,,,,,,,,1,9,,9,,,,1,,,3,,,,,,29,,,,38,,,,,,,6,,,,,9,,1,,,,,,,,,4,14,,,,1,,,
167,6059,,,,,11,,,,1,,4,,,1,,,,,,,,31,87,,1,,,,6,,2,,,,,,1,,,,1,10,,11,,,,1,,,1,,,,,,27,,,,37,,2,,,,,8,,,,,5,,1,,,,,,,,58,6,8,,,,1,,,
166,6051,,,1,,10,,,,,,6,,,,,2,,,2,,,28,100,1,,,1,,7,,3,,,,,,,,,,,5,,8,,,,,,,1,,,,,,30,,,,41,,,,,,,5,3,,,,4,,3,,,,,,,,2,5,11,,,,3,,,
169,6075,,,,,3,,6,,,,6,,,2,,2,,,3,,2,36,85,,6,,2,,1,,3,,,,,,3,,,,,14,,11,,,,,,,1,,,,,,32,,,,37,,2,,,,,4,,,,,1,,2,,,,,,,,62,3,7,,,3,2,,,
168,6067,,,1,,7,,2,,,,5,,1,1,,,,,1,,,34,89,,,,1,,2,1,1,,,,,,2,,,,,12,,10,,,,,,,2,,,,,,28,2,,,38,,,,,,,6,2,,,,2,,1,,,,,,,,59,5,9,,,2,3,,,
170,6086,,4,1,,2,3,7,15,1,,6,1,,3,,5,,1,4,,3,39,82,1,9,,1,,1,1,4,16,1,1,,1,4,,,4,1,17,,12,,1,,3,,,2,2,,1,,2,32,2,,1,39,7,3,2,1,5,,5,4,2,1,,1,2,5,2,3,8,,,,,57,1,3,,2,6,7,1,,
171,6093,,1,1,,2,,6,,,,7,,,1,,2,,,3,,1,40,86,,4,,1,,1,,1,,,,,,3,,,,,16,,9,,,,,,,,,,,,,29,1,1,,42,5,,,,,,7,,,,,,,1,,,,,,,,56,3,2,,,4,3,,,
172,6100,,3,1,,2,,8,,,,6,,,,,,,,2,,,37,89,,5,,1,,,,2,,1,,,,2,,,,,14,,8,,,,1,,,1,,,,,,31,,,,38,4,2,,,,,10,3,,,,,,1,,,,,,,,45,2,,,,5,3,,,
173,6107,,3,,,4,,4,,,,7,,,1,,4,,,1,,,35,92,,4,,1,,1,,1,,,,,,1,,,,,12,,7,,,,,,,,,,,,,36,,,,39,5,2,,,4,,11,1,,,,1,,,,,,,,,,60,1,1,,,4,2,,,
174,6114,,2,1,,7,,5,,,,6,,,,,2,,,1,,,33,91,1,4,,,,,1,1,,1,,,,,,,,1,14,,10,,,,2,,,,,,,,,40,,1,,38,7,1,,,2,,12,,,1,,1,,1,,,,,,,,65,,,,,2,3,,,
175,6121,,3,1,,5,,6,,,,8,,1,1,,,,,,,1,30,96,,,,1,,2,,,,,,,,1,,,,,16,,11,,,,4,,,,,,,,,38,,,,40,5,2,,,1,,13,1,,,,,,1,,,,,,,,74,1,2,,,5,3,,,
176,6128,,2,,,8,,7,,,,9,,,,,1,,,3,,5,28,98,1,4,,,,1,,2,,1,,,,,,,,,14,,8,,,,5,,,,,,,,,35,1,,,43,4,1,,,,,14,1,,,,,,,,,,,,,,85,2,1,,,4,2,,,
177,6135,,2,1,,7,,9,,,,10,,,,,1,,,,,4,29,100,,,,1,,1,,1,,1,,,,,,,,,13,,10,,,,7,,,1,,,,,,32,,,,39,7,1,,,,,16,,,,,,,1,,,,,,,,100,3,2,,,3,2,,,
178,6145,1,3,1,1,8,2,10,4,,1,11,1,,,,,,,1,1,7,25,112,1,3,10,1,,,,2,9,2,,,1,1,,1,3,1,15,3,12,,,1,8,,,,1,,,,1,36,1,2,,40,7,2,,1,2,,16,1,2,1,4,,,4,1,4,8,,,,,133,4,2,1,,6,3,3,,
180,6163,,,,,5,,12,,,,11,,,,,,,,,,5,28,110,,,,1,,2,1,,,,,,,,,,,,10,,8,,,,5,,,,,,,,,25,,1,,41,7,1,,,,,15,1,,,,2,,1,,,,,,,,117,4,,,,6,,,,
181,6172,,1,2,,4,,7,,,,10,,,,,,,,,,4,29,109,1,,,,,1,,1,,1,,,,,,,,1,11,,9,,,,4,,,,,,,,,35,,,,44,5,1,,,1,,14,,,1,,1,,1,,,,,,,,109,,,,,5,,,,
179,6154,,1,,,7,,11,,,,12,,1,,,,,,,,,26,111,,,,1,,,,1,,1,,,,,,,,,12,,10,,,,6,,,1,,,,,,30,,,,39,8,2,,,,,17,2,,,,1,,3,,,,,,,,125,,,,,5,1,,,
182,6181,,,1,,5,,9,,,,9,1,,,,,,,1,,,31,110,,,,1,,2,,,,,,,,,,,,,10,,11,,,,3,,,,,,,,,38,,,,40,4,2,,,,,13,1,,,,1,,2,,,,,,,,101,1,1,,,4,,,,
183,6190,,,2,,7,,8,,,,8,,,1,,,,,,,2,30,109,,,,,,3,,1,,,,,,,,,,,9,,8,,,,2,,,1,,,,,,46,1,,,41,2,1,,,,,12,,,,,1,,1,,,,,,,,93,2,,,,2,,,,
184,6199,,,1,,6,,9,,,,7,,,,,,,,,,1,32,100,,,,1,,4,,,,1,,,,,,,,,8,,9,,,,1,,,1,,,,,,48,,,,40,4,3,,,1,,10,1,,,,1,,2,,,,,,,,85,,1,,,4,,,,
185,6208,,1,,,4,,6,,1,,6,1,,,,,,,1,,,25,99,1,,,,,1,,1,,1,,,,,,,,1,10,,10,,,,,,,1,,,,,1,50,,1,,42,5,2,,,,,9,2,,1,,1,,3,,,,,,,,77,1,1,,,2,1,,,
186,6217,,,1,,2,,5,,,,5,1,,1,,,,,,,1,28,107,,,,1,,2,,,,1,,,,,,,,,5,,11,,,,1,,,2,,,,,,51,,,,45,9,1,,,,,8,1,,,,1,,3,,,,,,,,69,1,,,,1,,,,
187,6226,,,,,4,,4,,1,,4,1,,,,,,,1,,,30,100,,,,1,,1,,1,,,,,,,,,,,4,,10,,,,1,,,1,,,,,1,52,1,,,41,7,2,,,,,5,1,,,,1,,4,,,,,,,,61,,1,,,1,,,,
189,6236,1,,1,,1,,3,7,1,,4,,1,1,,1,2,1,1,1,3,32,98,2,,,1,3,1,1,1,5,1,,,1,,,,,2,6,2,11,,,,1,,,2,3,,,,1,50,2,1,,42,12,2,,,2,,6,4,3,1,,1,1,5,1,4,8,,,,,35,4,,,4,,2,,,1
190,6251,,,1,,2,,2,,,,3,,,1,,,1,,5,,,33,97,,,,1,2,2,,,,,,,,,,,,,10,,8,,,,,,,,,,,,,52,,2,,41,10,,,,,,6,,,,,1,,1,,,,,,,,21,2,1,,,,3,,,
191,6266,,,2,,4,,1,,,,7,,,,,,,,7,,2,30,85,1,,,1,1,3,,,,,,,,,,,,1,14,,7,,,,1,,,,,,,,1,48,,1,,43,2,2,,,,,10,1,,,,1,,5,,2,,,,,,20,,,,,1,4,,,1
193,6296,,,4,,5,,1,,,,12,1,,,,,,,10,,,27,83,1,,,,1,2,,1,,,,,,,,,,1,17,,9,,,,,,,,,,,,,51,,7,,42,,1,,,1,,16,1,,1,,,,7,,,,,,,,2,2,1,,,,7,,,
192,6281,,,2,,7,,,,,,10,1,1,,,,1,,9,,1,29,84,,,,1,,4,,,,,,,,,,,,,12,,5,,,,1,,,,,,,,,47,1,,,46,4,1,,,,,12,,,,,,,6,,,,,,,,10,1,1,,,,5,,,
194,6309,,,5,,8,9,1,,,,16,,,,,,,,11,,,25,108,,,,1,3,6,,2,3,,,1,2,,1,,,,18,2,10,,,1,,,,6,1,,,2,,49,,8,,39,,1,4,5,1,,24,2,4,2,,4,3,8,,,1,1,,,,,3,1,,2,,8,,10,1
196,6355,,,1,,5,,5,,,,17,,,,,,,,17,,2,25,158,,,,,,1,,1,,,,,1,,,,,,18,,9,,,,,,,5,,,,,1,52,1,3,,35,,1,,,,,27,,,1,,5,,10,,1,,,,,,,3,,,,,8,,,
195,6332,,,6,,6,,6,,,,18,,,1,,,,,14,,,28,120,,,,,,2,,,,,,,1,,,,,,17,,7,,,,1,,,7,,,,,,50,,5,,37,,,2,,,,28,1,,1,,4,,8,,,,,,,,,2,,,,,7,,,
197,6378,,,2,,4,,6,,,,15,,,,,,,,18,,1,17,142,1,,,1,,7,,,,,,,2,,,,,,16,,8,,,,1,,,4,,,,,,42,,,,33,,,1,,,,25,1,,,,5,,11,,,,,,,,,4,1,,,,6,,,1
199,6401,,,,,7,4,8,,,,14,,,,1,2,1,,19,,4,14,164,,,,,,9,,1,2,,1,,3,,,,,,18,2,8,,,,,1,,3,,,,4,,51,2,1,,30,,,,3,,,24,1,,1,1,6,4,11,,,,3,,,,,4,5,1,,,5,3,,
200,6427,,,1,,9,,7,,,,13,,,,,,1,,15,,2,15,100,,,,1,,9,,,,,,,,,,,,,19,,7,,,,,,,2,,,,,,45,1,,,32,,,7,,,,23,,,,,5,,10,,,,,,,,,2,4,,,,4,,,1
201,6453,,1,1,,10,,6,,,,15,,,1,,,,,10,,1,16,24,1,,,2,,8,,2,,,,,1,,,,,1,21,,8,,,,1,,,1,,,,,,47,,2,,37,,1,5,,,,27,1,,,,4,,8,,1,,,,,,,3,18,,,,5,,,
203,6479,1,2,,2,14,,2,1,,,13,,,,,,,,5,,,17,46,1,,,1,,6,,4,1,,,,1,1,,,,1,20,4,9,,,1,,,,,,,,1,,48,,4,,43,,,11,2,,,30,,7,1,,8,3,9,,,,1,,,,,,20,,2,,8,,,1
204,6497,,,,,12,,1,,,,14,,,,,,,,,,,18,40,,,,1,,5,,,,,,,,,,,,,22,,11,,,,1,,,,,,,,,51,,,,46,,,10,,,,32,,,,,6,,7,,,,,,,,,,17,,,,4,,,
205,6515,,,,,14,,2,,,,13,,,1,,,,,2,,,16,41,1,,,,,7,,,,,,,,,,,,,19,,10,,,,,,,1,,,,,,52,,1,,48,,2,11,,,,29,,,,,5,,5,,1,,,,,,,1,15,,,,3,,,
207,6551,,,1,,8,,1,,,,10,,,1,,,1,,1,,,13,21,1,,,2,,2,,2,,,,,,,,,,,21,,19,,,,,,,1,,,,,,56,,,,53,,1,10,,,,19,,,,,4,,4,,1,,,1,,,,1,11,,,,4,,,
206,6533,,1,,,10,,1,,,,11,,,,,,,,,,,14,45,,,,1,,4,,1,,,,,,,,,,1,22,,14,,,,1,,,,,,,,,48,,,,51,,2,10,,,,20,,,,,6,,6,,,,,1,,,,1,18,,,,2,,,
210,6589,,,1,,8,,,,,,12,,,,,,,,6,,,11,36,,,,3,,5,,,,,,,,,,,,,22,,17,,,,1,,,,,,,,,62,,,,51,,2,8,,,,18,,,,,4,,1,,,,,2,,,,2,7,,,,8,,,
209,6572,7,,2,2,7,11,1,,,,11,1,,,,1,1,,7,,,12,38,1,,,3,,7,,4,,,,1,,1,,,,1,24,4,18,,,,2,,,1,1,1,,2,,68,,1,,54,,3,11,,2,,19,1,,2,,2,3,2,,,,2,4,,,2,2,8,,6,,6,6,,2
211,6606,,,,,9,,1,,,,13,,,1,,,,,8,,,12,34,,,,3,,4,,2,,,,,,,,,,,20,,15,,,,2,,,,,,,,,59,,,,48,,,7,,,,20,,,,,2,,,,1,,,3,,,,1,5,,,,7,,,
212,6623,,2,1,,10,,1,,,,14,,,,,,,,9,,,15,30,1,,,2,,5,,,,,,,,,,,,1,18,,18,,,,,,,1,,,,,,64,,,,45,,,2,,,,22,,,,,3,,1,,,,,1,,,,1,8,,,,6,,,
213,6640,,,,,11,,,,,,15,,,,,,1,,11,,,17,31,,,,1,,7,,1,,,,,,,,,,,17,1,12,,,,,,,1,,,,,,67,,1,,42,,1,1,,,,25,,,,,4,,,,1,,,2,,,,1,5,,,,5,,,
214,6657,,,,,10,,,,,,16,,,1,,,,,9,,,19,21,,,,1,,5,1,,,,,,,,,,,,16,,10,,,,1,,,,,,,,,61,,,,39,,,,,,,28,,,,,2,,,,1,,,1,,,,2,6,,,,8,,,
215,6674,,2,1,,11,,1,,,,17,,,,,,,,10,,,21,19,,,,1,,2,,1,,,,,,,,,,,18,1,16,,,,,,,1,,,,,,68,,,,36,,,,,,,27,1,,,,4,,2,,1,,,,,,,1,7,,,,8,,,
216,6691,,,1,,12,,,,,,18,,,,,,,,11,,,20,10,,,,1,,1,,1,,,,,,,,,,,17,2,13,,,,,,,1,,,,,,70,,1,,33,,1,1,,,,29,,,,,3,,1,,,,,,,,,1,8,,,,9,,,
217,6708,,,,,11,,1,,,,19,,,1,,,,,9,,,18,11,,,,2,,2,,1,,,,,,,,,,,14,4,11,,,,,,,,,,,,,65,,,,30,,,,,,,30,,,,,4,,1,,,,,,,,,1,9,,,,12,,,
218,6725,,1,1,,10,,,,,,20,,,,,,1,,12,,,22,16,,,,1,,1,,2,,,,,1,,,,,1,12,5,10,,,,1,,,1,,,,,,72,,,,37,,,,,,,32,,,,,5,,24,,,,,,,,,2,8,,,,11,,,
219,6742,,,1,,17,,1,,,,21,,,1,,,,,10,,,24,25,,,,3,,2,,1,,,,,,,1,,,,14,2,9,,,,,,,,,,,,,71,,1,,35,,,1,,,,33,1,,2,,4,,3,,1,,,1,,,,1,9,,,,10,,,
220,6759,,,,,15,,1,,,,21,,,,,,,,11,,,23,32,,,,2,,3,,1,,,,,1,,,,,,12,7,7,,,,1,,,1,,,,,,72,,,,40,,1,,,,,35,1,,1,,5,,1,,1,,,1,,,,3,10,,,,13,,,
221,6780,2,1,2,1,19,,3,,1,,22,,,,,,,,13,,,24,40,1,,,3,,4,1,3,,,,,1,,1,,,,13,8,8,,,,,,,2,,,,1,,74,,1,,42,,2,11,3,2,,37,1,1,4,,6,2,3,,,,6,3,,,,5,10,,1,,14,1,,4
222,6799,,,1,,18,,2,,1,,23,,,,,,,,11,,,25,41,,,,2,,3,,,,,,,,,,,,,11,5,9,,,,,,,,,,,,,70,,,,38,,,1,,,,39,,,3,,5,,1,,,,,2,,,,2,12,,1,,15,,,
223,6818,,,2,,20,,1,,,,20,,,1,,,,,12,,,24,46,,,,1,,2,,2,,,,,1,,,,,,12,2,11,,,,1,,,1,,,,,,67,,1,,36,,1,1,,,,38,1,,2,,4,,,,,,,1,,,,4,10,,,,8,,,
225,6856,,1,1,,22,,1,,,,14,,,,,,,,10,,,18,52,,,,,,4,,1,,,,,1,,,,,,11,,7,,,,,,,1,,,,2,,62,,,,35,,,4,,,,30,,,,,4,,1,,,,,,,,,,15,,,,6,,,
224,6837,,1,2,,21,,2,,1,,19,,,,,,,,11,,,23,48,1,,,,,1,1,,,,,,,,1,,,1,10,1,14,,,,,,,,,,,,,60,,,,31,,,1,,,,35,,,,,5,,,,,,,1,,,,1,11,,,,7,,,
226,6875,,,2,,18,,3,,1,,11,,,1,,,,,9,,,15,60,,,,,,2,,1,,,,,2,,1,,,,12,1,16,,,,1,,,2,,,,1,,56,,1,,34,,1,5,,,,29,1,,,,3,,,,1,,,,,,,2,12,,,,8,,,
227,6894,,1,2,1,20,,3,3,1,,10,1,1,,,1,2,,8,,,12,65,,1,,1,3,,,1,3,,,,3,,,2,,,9,3,18,,,,,,,3,1,,,6,,53,,1,,38,,1,6,5,2,,25,1,,2,,5,4,1,,,,1,,,,1,2,14,,1,,9,4,,6
228,6915,,,1,,19,,2,,,,9,,,,,,,,3,,,10,68,,,,,,1,,,,,,,,,1,,,,10,,16,,,,,,,1,,,,4,,62,,,,32,,,3,,,,20,,,,,4,,,,,,,,,,,1,8,,,,10,,,
229,6936,,,1,,17,,1,,1,,12,,,1,,,,,5,,,12,71,1,,,,,1,,1,,,,,4,,,,,,11,,12,,,,1,,,2,,,,2,,64,,,,26,,1,4,,,,19,,1,1,,5,,1,,,,,,,,,1,7,,,,11,,,
230,6957,,1,,,15,,,,,,18,,,,,,,,3,,,13,72,,,,,,,,,,,,,4,,,,,,14,,11,,,,,,,1,,,,1,,78,,,,20,,,5,,,,18,1,,,,4,,,,,,,,,,,1,8,,,,12,,,
231,6978,,,1,,11,,1,,1,,21,,,1,,,,,2,,,15,76,,,,,,1,,1,,,,,6,,,,,,16,,10,,,,,,,1,,,,,,77,,,,14,,,8,,,,15,,,1,,4,,,,,,,,,,,,6,,1,,18,,,
234,7020,,1,2,,11,,1,,,,26,,,1,,,,,5,,,18,77,,,,,,1,,,,,,,2,,,,,,15,,14,,,,,,,1,,,,,,88,,,,17,,,10,,,,21,2,,,,4,,,,,,,,,,,2,7,,,,21,,,
232,6999,,,,,10,,,,,,25,,,,,,,,4,,,17,74,1,,,,,2,,,,,,,5,,1,,,,14,,12,,,,1,,,1,,,,,,84,,,,16,,1,7,,,,19,,1,,,5,,1,,,,,,,,,1,5,,,,19,,,
238,7080,,,1,2,16,,2,,1,,31,,,,,,,,10,,,21,89,,2,,,,3,,,,,,1,11,,1,,,,17,1,12,,,1,,,,4,,,,4,,105,,,,18,1,,11,,,,22,3,3,,,3,4,2,,,,3,,,,,5,1,,3,1,26,2,,5
235,7041,,,2,,12,,,,1,,28,,,,,,,,7,,,19,78,1,,,,,2,,1,,,,,1,,,,,,14,,11,,,,,,,1,,,,,,92,,,,15,,,8,,,,20,,,1,,3,,,,,,,,,,,3,8,,,,21,,,
237,7062,,,1,,15,,1,,,,30,,,,,,,,9,,,20,82,,,,,,2,,,,,,,7,,1,,,,15,,10,,,,1,,,2,,,,,,90,,,,17,,1,9,,,,21,1,1,,,4,,1,,,,,,,,,4,7,,,,23,,,
240,7103,,1,1,,17,,1,,,,32,,,,,,,,7,,,25,75,,,,,,2,,,,,,,,,1,,,,18,,10,,,,,,,2,,,,,,70,,,,19,,,9,,,,21,,,1,,2,,,,,,,,,,,3,2,,,,21,,,
241,7126,,,,1,15,,1,,,,28,,1,1,,,,,5,,,24,65,1,,,,,1,,1,,,,,1,,1,,,,14,,9,,,,2,,,,,,,,,40,,,,21,,1,8,,,,20,2,1,,,4,,2,,,,,,,,,4,4,,,,20,,,
243,7149,,1,1,,14,,2,,,,15,,2,,,,,,2,,,26,43,,,,,,4,,,,,,,1,,,,,,12,2,8,,,,,,,1,,,,,,35,,,,20,,,4,,,,19,,2,,,2,,1,,,,,,,,,1,3,,1,,17,,,
245,7196,,,,3,11,,5,,,,6,,5,1,,1,,,,,,28,17,,,,,,5,,2,,,,,1,2,1,,,1,14,10,13,,,,3,,,,,,,1,,45,,1,,22,,,5,,4,,15,1,,,,4,,,,,,1,,,,,2,5,,1,,7,,,
244,7172,,,1,2,13,,3,,,,10,,4,,,,,,1,,,25,25,,,,,,2,,1,,,,,1,,,,,,11,5,10,,,,1,,,,,,,,,41,,,,21,,,2,,,,18,1,1,1,,3,,,,,,,,,,,1,4,,,,11,,,
246,7213,,,,,12,,4,,,,3,,3,,,,,,,,,27,19,,,,,,2,,,,,,,,,,,,,13,8,10,,,,1,,,1,,,,,,52,,1,,17,,,4,,,,13,,,,,4,,,,,,,,,,,1,2,,,,9,,,
247,7230,,,,2,11,,3,,,,10,,2,,,,,,,,,25,21,,,,,,1,,1,,,,,,,1,,,,15,9,11,,,,,,,,,,,,,41,,,,18,,,2,,,,15,,1,1,,3,,,,,,,,,,,1,4,,,,11,,,
248,7247,,,1,,10,,5,,,,13,,1,1,,,,,,,,21,25,1,,,,,2,,,,,,,1,,,,,,14,10,10,,,,1,,,1,,,,,,68,,1,,16,,,1,,,,17,1,1,,,2,,1,,,,,,,,,,1,,,,12,,,
249,7264,,,,1,9,,4,,,,15,1,,,,,,,2,,,20,20,,,,,,4,,1,,,,,1,,,,,,15,11,9,,,,,,,,,,,,,72,,,,21,,,1,,,,18,,,,,4,,,,,,,,,,,1,2,,,,9,,,
250,7281,,,1,,10,,3,,,,17,,,,,,,,,,,23,17,,,,,,1,,,,,,,1,,,,,,13,9,8,,,,,,,1,,,,,,81,,1,,23,,,1,,,,20,,1,1,,3,,1,,,,,,,,,,4,,,,11,,,
251,7298,,,,1,11,,5,,,,24,1,1,,,,,,1,,,26,10,1,,,,,2,,,,,,,,,1,,,,12,5,7,,,,1,,,,,,,,,79,,,,18,,1,,,,,21,1,,,,2,,1,,,,,,,,,1,5,,,,10,,,
252,7315,,,1,1,14,,4,,,,27,,,1,,,,,3,,,27,2,,,,,,1,,,,,,,1,,,,,,10,4,5,,,,,,,1,,,,,,84,,,,19,,,1,,,,20,,,,,4,,1,,,,,,,,,2,2,,,,12,,,
254,7349,,,,1,14,,5,,,,41,1,,,,,,,2,,,25,8,,,,,,1,,,,,,,,,,,,,10,,6,,,,1,,,,,,,,,98,,,,22,,,2,,,,18,,,,,4,,,,,,,,,,,1,2,,5,,16,5,,
255,7366,,,1,,12,,2,,,,45,,,1,,,,,1,,,27,9,1,,,,,1,,1,,,,,,,1,,,,9,1,4,,,,,,,1,,,,,,97,,1,,24,,1,4,,,,22,1,,,,3,,,,,,,,,,,2,1,,4,,18,3,,
256,7383,,,1,,11,,1,,,,48,2,,,,,,,4,,,28,2,,,,1,,3,,1,,,,,,,,,,,10,,5,,,,,,,1,,,,,,115,,,,19,,,5,,,,21,,1,1,,2,,1,,,,,,,,,4,1,,7,,21,4,,
253,7332,,,,,15,,3,,,,36,,1,,,,,,4,,,21,10,,,,,,,,1,,,,,,,,,,,11,2,2,,,,,,,1,,,,,,95,,1,,17,,,1,,,,19,,1,1,,4,,,,,,,,,,,1,2,,6,,14,,,
257,7404,,,,1,13,,5,,,,49,3,,,,,,,5,,,27,33,,,,3,,4,,,,,,1,1,,1,,,,8,1,5,,,,,,,3,,,,2,,129,,1,,19,,,6,,,,20,2,2,1,,3,1,,,,,5,2,,,,6,3,,8,,22,6,,2
259,7554,,,,1,10,,2,,,,47,1,,,,,,,3,,,26,1,,,,,,,,2,,,,,,,1,,,,14,,3,,,,1,,,1,,,,,,135,,,,23,,,2,,,,25,1,1,,,4,,1,,,,,,,,,5,1,,,,21,2,,
258,7549,,,1,,12,,4,,,,50,,,,,,,,4,,,28,2,,,,2,,2,,,,,,,,,,,,,11,,4,,,,,,,2,,,,,,130,,1,,21,,,4,,,,23,,,,,2,,,,,,,,,,,4,2,,,,24,4,,
