depth,age,abies,abies alba,acer campestre-type,achillea-type,allium,alnus glutinosa-type,alnus viridis,amaranthaceae,apiaceae,artemisia,aster-type,avena-type,bartsia-type,betula nana,betula pubescens,botrychium,brassicaceae,buxus sempervirens,calluna vulgaris,calystegia,campanula,cannabis-type,carduus,carpinus betulus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea montana,centaurea scabiosa,cerastium,chaerophyllum-type,cichorioideae,corylus avellana,cuscuta europaea-type,cyperaceae,dryas octopetala,ephedra distachya-type,ephedra fragilis-type,eryngium,fagus sylvatica,filipendula,fraxinus excelsior-type,genista-type,gentiana-type,geranium-type,geum,gnaphalium-type,gypsophila,hedera helix,hedwigia,helianthemum,heracleum,homogyne alpina,hordeum-type,juglans regia,juniperus,juniperus-type,knautia,lamiaceae,larix,larix decidua,liliaceae undiff.,lonicera alpigena,lonicera xylosteum,mentha-type,olea europaea,pediastrum,picea,picea abies,pinus,pinus cembra,pinus sylvestris-type,pistacia,plantago alpina,plantago lanceolata,plantago major/p. media,poaceae,poaceae (cerealia),podospora-type,populus,potentilla-type,poterium sanguisorba,quercus robur-type,ranunculus acris-type,ranunculus-type,rhamnus,rhinanthus-type,rhododendron,rosaceae,rubiaceae,rumex acetosa-type,salix,saxifraga granulata-type,saxifraga oppositifolia-type,scorzonera-type,secale,selaginella selaginoides,silene dioica-type,sorbus,sordaria-type,sporormiella,succisa,taxus baccata,thalictrum,tilia,triticum-type,trollius europaeus,ulmus,urtica,valeriana officinalis,vitis vinifera,xanthium spinosum-type
205,3354,,14,1,1,,32,70,,1,6,,,,,51,,,,,,,,,,,,,,,,,,18,,8,,,,,43,,3,,,,1,,,,,,1,,1,,,2,,,,6,,,,,,9,,154,,4,24,,,5,,20,2,,,1,,27,1,5,,1,,,,2,2,,,,1,,,1,1,4,,,,,,,3,,,,
206,3378,,6,2,,,32,76,1,3,4,,,,,33,,,,,,,,,,,,,,,,1,3,14,,9,,,,,40,2,3,,,,,,,,,,,,3,,,,,,,3,,,,,,2,,152,,,21,,,4,,32,3,,,,,25,2,3,,,,,,3,1,,,,,,,5,,7,,6,,,,,5,,,,
207,3402,,9,1,,,49,67,,1,8,,,,,38,,2,,,,1,,,,,,,,,,1,1,25,,6,,,,,30,2,2,,,,,,,,,,,,5,,,4,,,,1,,,1,,,3,2,111,,,22,,,8,,29,6,,,2,,35,5,8,,,,1,,4,2,,,,1,,,1,3,12,,1,,1,,,,,,,
208,3426,,15,4,1,,53,60,2,,8,,,,,38,,1,1,,,,,,,,,,,,1,1,,19,,7,,,,,34,1,1,,,,,,,,,,,,4,,,5,,,,4,,,,,,11,3,119,,,26,,,7,3,26,4,,,5,,45,4,7,,,1,1,,5,1,,,,,1,,2,1,14,,1,,,,,4,,,,
209,3451,,15,3,1,,61,55,,1,4,,,,,39,,,,,,,,,1,,,,,,,,,23,,12,,,,,33,2,1,,,,,,,,,,,,1,,,3,,,,3,,,,,,9,3,140,1,,13,,,10,1,28,1,,,3,,33,3,3,,,,1,,5,,,,,,1,,1,2,15,,,1,,,,3,2,,,
210,3475,,16,,,2,44,44,1,1,9,,,,,19,,1,,,,,,,,,,,,,,2,,22,,4,,,,,33,1,1,,,,,,,,,,,,4,,,2,,,,1,,,,,,4,4,147,,,23,,,6,,31,4,,,2,,39,3,8,,,,,,4,3,,,,,,,2,1,15,,,,,,,4,,,,
211,3499,,13,2,2,,31,53,,,6,,,,,18,,1,,,,,,1,,,,,,,,1,,22,,15,,,,,50,,1,,,,,,,,,,,,6,,,1,,,,,,,,,,4,2,145,,,17,,,11,,31,7,,,2,,40,2,5,,1,,,,1,1,,,,1,,,2,1,6,,1,,1,,,1,2,,,
212,3523,,20,2,,,40,51,,,4,,,,,25,,1,1,,,,,,,,,,,,,1,,15,,14,,,,,35,,1,,,,,,,,,,,,1,,,3,,,,2,,,1,,,6,4,165,,3,21,,,6,3,33,2,,,,,33,7,6,,,,,1,4,,,,,1,,,2,,15,,1,,1,,,1,,,,
213,3547,,18,3,,,39,40,,1,2,,,,,19,,,,,,,,,1,,,,,,,2,,15,,4,,,,,38,,1,,,1,,,,,,,,,2,,,2,,1,,3,,,,,,7,8,158,,6,19,,,4,,23,2,,,1,,35,4,2,,,,,,1,1,,,,,,,,,8,,1,1,,,,,1,,,
214,3571,,14,1,,,34,49,,,4,,,,,24,2,,,,,,,1,,,,,,,,3,,12,,8,,,,,50,,2,,,,,,,,,,1,1,2,,,,,,,1,,,,,,,1,165,,4,15,,,6,,21,2,,,,,36,2,4,,,,,1,3,1,,,,,1,,3,1,3,,,,,,,3,,,,
215,3596,,15,,,,28,53,2,1,7,,,,,23,,,,,,1,,2,,,,,,,,,,11,,5,,,,,50,,1,,,,,,,,,,2,,4,,,2,,,,1,,,,,,2,2,152,,6,22,,,6,,22,4,,,3,,41,6,5,,,,,,,1,,,,,,,,1,10,,,1,1,,,8,1,,,
216,3620,,6,1,,,30,35,,1,4,,,,,31,,1,,,,,,,1,,,,,,,1,,21,,11,,,,,41,1,2,,,1,,,,,,,,,2,,,1,,,1,2,,,,,,2,4,156,,4,16,,,5,,14,2,,,1,,36,6,3,,,1,,,1,1,,,,,,,2,1,11,,,,,,,4,1,,,
217,3644,,16,3,,,32,42,,1,4,,,,,39,,,,,,1,,,1,,,,,,1,,1,15,,8,,,,,37,1,7,,,,,,,,,,1,,4,,,,,,1,2,,,,,,7,3,177,1,4,23,,,3,1,17,5,1,,3,,33,3,3,,,,1,,3,1,,,,1,,,2,,2,,1,1,,,,3,,,,
218,3668,,18,,,,34,40,,1,1,,,,,50,,,,,,,,1,2,,,,,,,1,,18,,13,,,,,35,1,2,,,,,,,,,,,,5,,,1,,,,1,,,,,,5,3,124,,5,29,,,3,1,12,5,,,1,,32,2,3,,,1,,1,3,1,,,,,,,,1,2,,2,,,,1,4,,,,
219,3692,,20,,,,42,45,,1,4,,,,,57,,,,,,,,,,,,,,,,1,,21,,12,,,,,29,,3,1,,,,,,,,,,,1,,,2,,,,1,,,,,,2,1,120,,2,19,,,2,,14,1,,,1,,30,1,2,,1,,,,1,3,,,,,,,,1,6,,2,,,,,6,,,,
220,3716,,22,1,,,29,36,1,,1,,,,,36,,,,,,,,,,,,,,,,,1,38,,15,,,,,36,,2,,,,,,,,,,1,,3,,,1,,,,3,,,,,,11,,136,,5,36,,,3,,15,3,,,1,,29,3,6,,,,,,1,4,,,,,,,5,,5,,,,,,1,10,,,,
221,3741,2,17,4,,,23,20,,1,4,,,,,34,,,,,,,,,2,,,,,,1,3,,20,,7,,,,1,36,,1,,,,,,,,,,,,2,,,1,,,2,1,,,,,,5,8,198,,7,22,,,2,1,18,2,,,,,20,2,2,,,,2,1,,2,,,,,,,4,,,,3,,,,,3,,,,
222,3765,,14,3,,,14,29,1,,4,,,,,35,,,,,,,,,,,,,,,,2,,11,,10,,,,,36,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,1,174,,2,19,,,5,,24,2,,,,,27,2,4,,,,,,,1,,,,,,,3,,2,,7,,,,,12,,,,
223,3809,,24,2,,,30,29,1,,4,,,,,30,,,,,,,,,,,,,,,,1,1,27,,7,,,,,32,,1,,,,,,,,,,1,,3,,,2,,,,2,,,,1,,2,6,159,,6,17,,1,6,1,13,3,,,1,,34,2,4,,,,,1,3,,,,,,,,3,1,2,,4,,,,,2,,,,
