age,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Quercus caducifolio,Quercus perennifolio,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia type,Polygonaceae,Pinguicula,Droseraceae,Cannabis ,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Cyperaceae,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada
5855.1,0.00651465798045603,0.237785016286645,0.00977198697068404,0,0.211726384364821,0.0260586319218241,0.00325732899022801,0,0,0,0,0,0,0.00325732899022801,0.00651465798045603,0,0,0.135830618892508,0.0260586319218241,0,0.00325732899022801,0,0.00325732899022801,0,0,0,0.00325732899022801,0,0,0.00325732899022801,0.00325732899022801,0,0,0,0,0,0,0,0,0.0325732899022801,0,0.0162866449511401,0,0.00325732899022801,0,0,0,0.0162866449511401,0.00325732899022801,0,0.0130293159609121,0.00325732899022801,0.00651465798045603,0.0684039087947883,0.0400651465798046,0,0.00977198697068404,0.00651465798045603,0,0,0,0.00325732899022801,0,0,0,0.0162866449511401,0.00977198697068404,0,0,0,0,0.0162866449511401,0.0228013029315961,0,0,0,0,0,0,0,0,0.00325732899022801,0,0,0,0,0,0.0195439739413681,0,0,0,0.00651465798045603,0,0,0,0,,,0,0,0.00977198697068404,0,0,0,0,0.00325732899022801,0,0.00325732899022801,0,0,0,0.00651465798045603,0,0,0,0,0,0.00325732899022801,0,0,0,0,0,0
6012.9,0,0.173780487804878,0.00914634146341463,0,0.277439024390244,0.0426829268292683,0,0,0.00304878048780488,0.00609756097560976,0,0,0.0121951219512195,0,0.0213414634146341,0.00304878048780488,0,0.114634146341463,0.0304878048780488,0,0.00304878048780488,0,0.00304878048780488,0.00304878048780488,0,0,0.00304878048780488,0,0,0,0.00609756097560976,0,0.00304878048780488,0,0,0,0.00304878048780488,0,0,0.0396341463414634,0,0.0182926829268293,0,0.00304878048780488,0,0,0,0.0274390243902439,0.00609756097560976,0,0.0121951219512195,0,0.00609756097560976,0.0426829268292683,0.025609756097561,0.00609756097560976,0,0.0121951219512195,0,0,0,0.00609756097560976,0,0,0,0.00914634146341463,0.00609756097560976,0,0,0,0,0.0121951219512195,0.0121951219512195,0.00304878048780488,0,0,0,0,0,0,0,0.00304878048780488,0.00304878048780488,0.00304878048780488,0,0,0,0.00914634146341463,0,0,0,0.0152439024390244,0,0,0,0,,,0,0,0.00609756097560976,0.00304878048780488,0,0,0,0.00304878048780488,0,0.00609756097560976,0,0,0,0.0152439024390244,0,0,0,0,0,0.00304878048780488,0.00304878048780488,0,0,0,0,0
6131.0,0.00313479623824451,0.225705329153605,0.0188087774294671,0,0.141065830721003,0.0313479623824451,0.00313479623824451,0,0.00940438871473354,0.00626959247648903,0,0,0,0,0.0282131661442006,0,0,0.123510971786834,0.0250783699059561,0.00313479623824451,0,0,0,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0.00313479623824451,0,0.00313479623824451,0,0,0,0,0,0,0.0752351097178683,0,0.0156739811912226,0,0,0,0,0,0.0156739811912226,0.00313479623824451,0.00313479623824451,0.0156739811912226,0,0,0.0846394984326019,0.0300940438871473,0.0125391849529781,0.00940438871473354,0.00313479623824451,0.00313479623824451,0,0,0.00626959247648903,0,0,0,0.0282131661442006,0.00940438871473354,0,0,0,0,0.00313479623824451,0.0219435736677116,0,0,0.00313479623824451,0,0,0,0,0,0.00313479623824451,0,0,0,0.00626959247648903,0,0.00626959247648903,0,0,0.00313479623824451,0.00626959247648903,0,0,0,0,,,0,0,0.0125391849529781,0.00313479623824451,0,0,0,0.00626959247648903,0,0.00313479623824451,0,0,0,0.0282131661442006,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0
6196.0,0,0.180124223602484,0.0031055900621118,0,0.149068322981366,0.0403726708074534,0.0031055900621118,0,0.0093167701863354,0.0031055900621118,0.0031055900621118,0,0.0031055900621118,0,0.0124223602484472,0,0,0.16583850931677,0.0186335403726708,0,0,0,0,0.0031055900621118,0.0031055900621118,0,0.0031055900621118,0,0,0,0.0031055900621118,0,0,0,0,0,0.0062111801242236,0,0,0.062111801242236,0,0.0341614906832298,0,0,0,0.0031055900621118,0,0.0186335403726708,0.0062111801242236,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.0062111801242236,0.0590062111801242,0.0391304347826087,0.0186335403726708,0,0.0062111801242236,0.0031055900621118,0,0,0.0031055900621118,0.0093167701863354,0,0,0.0372670807453416,0.0186335403726708,0.0062111801242236,0,0,0,0,0.0186335403726708,0,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0.0093167701863354,0,0.0062111801242236,0,0,0,0.0062111801242236,0,0,0,0,,,0,0,0.0093167701863354,0.0031055900621118,0,0,0,0.0031055900621118,0,0,0,0,0,0.0186335403726708,0.0031055900621118,0,0,0.0031055900621118,0,0,0,0,0,0,0,0
6314.2,0,0.367601246105919,0.00311526479750779,0,0.158878504672897,0.0186915887850467,0.00311526479750779,0,0,0.00311526479750779,0,0,0.00311526479750779,0,0.00311526479750779,0,0,0.12803738317757,0.0311526479750779,0.00311526479750779,0,0,0.00311526479750779,0,0.00311526479750779,0,0.00623052959501558,0,0.00311526479750779,0,0.00311526479750779,0,0,0,0,0,0,0,0,0.043613707165109,0,0.0373831775700935,0,0,0.00311526479750779,0,0,0.00934579439252336,0.00311526479750779,0.0124610591900312,0.00311526479750779,0,0.00311526479750779,0.0218068535825545,0.0214953271028037,0.00623052959501558,0,0.00311526479750779,0,0,0,0.00311526479750779,0,0,0,0.0249221183800623,0.0124610591900312,0.00311526479750779,0,0,0,0.00623052959501558,0.0155763239875389,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0.00311526479750779,0,0.0186915887850467,0,0,0,0,0,0,0,0,,,0,0,0.00311526479750779,0.00311526479750779,0,0,0,0.00311526479750779,0,0,0,0,0,0.0124610591900312,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0
6467.9,0,0.314868804664723,0.00291545189504373,0,0.177842565597668,0.0466472303206997,0.00583090379008746,0,0.00291545189504373,0,0,0,0.00291545189504373,0,0.0087463556851312,0,0,0.108454810495627,0,0,0,0,0.00291545189504373,0,0.00291545189504373,0,0.00583090379008746,0,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0.0495626822157434,0,0.0408163265306122,0,0.00291545189504373,0,0.00291545189504373,0,0.00583090379008746,0.00291545189504373,0.00291545189504373,0.00291545189504373,0.00291545189504373,0.00291545189504373,0.0553935860058309,0.0227405247813411,0.00291545189504373,0,0.0087463556851312,0,0,0,0.0087463556851312,0.00291545189504373,0,0,0.0262390670553936,0.00291545189504373,0.00291545189504373,0,0,0,0.0116618075801749,0.0145772594752187,0,0,0.00291545189504373,0,0,0,0,0,0.00291545189504373,0,0,0,0.0116618075801749,0,0.0116618075801749,0,0,0,0.00583090379008746,0,0,0,0,,,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0.0233236151603499,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0
6586.0,0,0.211656441717791,0.00920245398773006,0,0.196319018404908,0.049079754601227,0.00613496932515337,0,0.0184049079754601,0.00613496932515337,0.00613496932515337,0.00306748466257669,0.00613496932515337,0,0.00613496932515337,0,0,0.126687116564417,0.00613496932515337,0,0,0,0.00306748466257669,0.00613496932515337,0,0,0,0,0,0,0,0.00306748466257669,0.00306748466257669,0,0,0,0,0,0,0.0705521472392638,0,0.0245398773006135,0,0.00306748466257669,0,0.00613496932515337,0,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.0122699386503067,0.00306748466257669,0,0.0521472392638037,0.0266871165644172,0,0.00306748466257669,0.0153374233128834,0.00306748466257669,0,0.00613496932515337,0.00613496932515337,0.00306748466257669,0,0,0.0245398773006135,0.0153374233128834,0.00306748466257669,0,0,0,0.00306748466257669,0.0214723926380368,0,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0.00613496932515337,0,0,0,0.0122699386503067,0,0,0,0,,,0,0,0.00920245398773006,0.00306748466257669,0,0.00306748466257669,0,0.00306748466257669,0,0,0,0,0,0.0276073619631902,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0
6681.6,0,0.243589743589744,0.00320512820512821,0,0.173076923076923,0.0544871794871795,0,0,0.00320512820512821,0.00320512820512821,0,0,0.00641025641025641,0,0.0224358974358974,0,0,0.116346153846154,0.0224358974358974,0,0,0,0,0,0.00320512820512821,0,0.00320512820512821,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0.0544871794871795,0,0.016025641025641,0,0,0.00320512820512821,0.00320512820512821,0,0.00320512820512821,0.00641025641025641,0.00320512820512821,0.0128205128205128,0.00641025641025641,0.00961538461538462,0.0224358974358974,0.0182692307692308,0.00320512820512821,0,0.0352564102564103,0.00320512820512821,0,0,0.00641025641025641,0,0,0,0.0416666666666667,0,0.00320512820512821,0,0,0,0.0224358974358974,0.016025641025641,0,0,0,0,0,0,0,0,0.00961538461538462,0,0,0,0.00961538461538462,0,0.0128205128205128,0,0,0,0.0192307692307692,0,0,0,0,,,0,0,0.00641025641025641,0,0,0,0,0.00320512820512821,0,0.00320512820512821,0,0,0,0.0352564102564103,0.00320512820512821,0,0,0,0,0.00320512820512821,0,0,0,0,0,0
6743.4,0,0.25705329153605,0.0156739811912226,0,0.125391849529781,0.0501567398119122,0,0,0.00626959247648903,0.00940438871473354,0.00313479623824451,0,0,0,0.0188087774294671,0,0,0.105956112852665,0.00626959247648903,0,0,0,0,0,0,0,0.00626959247648903,0,0,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0.0846394984326019,0,0.00626959247648903,0.00626959247648903,0.00626959247648903,0,0,0,0.0125391849529781,0,0.00313479623824451,0.0125391849529781,0,0,0.0532915360501567,0.031974921630094,0.00313479623824451,0.00626959247648903,0.00940438871473354,0,0,0,0.00940438871473354,0,0,0,0.0344827586206897,0.0125391849529781,0.00313479623824451,0,0,0,0.0156739811912226,0.0313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0.00313479623824451,0.00313479623824451,0,0,0.00940438871473354,0,0.0156739811912226,0,0,0,0.0125391849529781,0,0,0,0,,,0,0,0,0.00313479623824451,0,0,0,0.00626959247648903,0,0.00626959247648903,0,0,0,0.0407523510971787,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0
6805.1,0,0.260188087774295,0.00313479623824451,0,0.141065830721003,0.0501567398119122,0.00626959247648903,0,0.00626959247648903,0.00940438871473354,0,0,0.00940438871473354,0,0.0188087774294671,0,0,0.108150470219436,0.0156739811912226,0,0,0,0.00626959247648903,0.00313479623824451,0.00313479623824451,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0.0376175548589342,0,0.0282131661442006,0.00313479623824451,0,0.00313479623824451,0.00313479623824451,0,0.00626959247648903,0.0156739811912226,0,0.0125391849529781,0.00313479623824451,0.00313479623824451,0.0689655172413793,0.0235109717868339,0,0.00626959247648903,0.0219435736677116,0,0,0,0.00626959247648903,0.00940438871473354,0,0,0.0313479623824451,0.00940438871473354,0.00626959247648903,0,0.00313479623824451,0,0.0125391849529781,0.0156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0.00626959247648903,0,0.00940438871473354,0,0,0,0.00940438871473354,0,0,0,0,,,0,0,0.0125391849529781,0,0,0,0,0.00626959247648903,0.00313479623824451,0.00313479623824451,0,0,0,0.0282131661442006,0,0,0.00313479623824451,0,0,0.00313479623824451,0,0,0,0,0,0
6866.9,0,0.232415902140673,0.0122324159021407,0,0.17737003058104,0.0703363914373089,0,0,0.00611620795107034,0.00305810397553517,0,0.00305810397553517,0.00305810397553517,0,0.0214067278287462,0,0,0.0984709480122324,0.00611620795107034,0,0,0,0,0,0.00305810397553517,0,0.00305810397553517,0,0.00611620795107034,0,0.00305810397553517,0,0,0,0,0,0,0,0,0.0519877675840979,0,0.0336391437308869,0.0122324159021407,0.00611620795107034,0.00305810397553517,0.00305810397553517,0,0.00611620795107034,0.00917431192660551,0,0.00611620795107034,0.00305810397553517,0.00305810397553517,0.0642201834862385,0.0238532110091743,0,0.00917431192660551,0.0122324159021407,0,0,0.00305810397553517,0,0,0,0,0.0305810397553517,0.0122324159021407,0.00611620795107034,0,0,0,0.00611620795107034,0.0214067278287462,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0,0.00305810397553517,0,0,0,0.0122324159021407,0,0,0,0,,,0,0,0.00305810397553517,0.00305810397553517,0,0,0,0.0122324159021407,0,0,0,0,0,0.018348623853211,0.00611620795107034,0,0,0,0,0.00611620795107034,0,0,0,0,0.00305810397553517,0
