depth,age,acer,alnus,amaranthaceae,apium,artemisia,asteraceae undiff.,berberis,betula,brassicaceae,buxus,caryophyllaceae,castanea,cedrus,centaurea,cistaceae,corylus,cupressaceae,dipsacoideae,ephedra,ericaceae,fabaceae,fraxinus,genista-type,glomus,lamiaceae,liliaceae,lonicera,olea,phillyrea,pinus,pinus pinaster,pistacia,plantago,poaceae,polygonum aviculare-type,quercus (deciduous),quercus (evergreen),rhamnus,riccia,rubiaceae,rumex crispus-type,salix,sordariaceae,thymelaeaceae,typha,urticaceae,vitis,zygnemataceae
64,1789.9,,,13,6,19,10,,,5,,,,,,8,,4,,4,4,5,,5,100,4,,,8,,27,5,3,14,89,6,6,49,1,4,,,5,11,3,5,,,99
102,2485.2,,,11,6,14,25,1,,2,,1,1,,,7,,3,,1,11,,,1,63,2,,,4,2,71,8,,2,54,3,9,41,,3,,,,9,2,2,,,44
133,2902.6,,1,7,4,19,14,,,2,,5,1,,,5,,4,,2,7,3,1,,10,3,,,8,2,76,4,1,2,41,,15,22,1,2,3,,,6,1,4,2,,88
166,3450.3,,1,7,2,25,25,,,,1,,,,,5,,3,,1,6,,1,2,12,2,,,3,1,85,5,,4,32,1,12,14,1,3,,,,10,2,8,2,,87
190,3845.7,,,3,,24,11,,,,1,,,,,3,,2,,1,2,3,1,2,25,10,,,5,1,148,12,2,2,28,3,20,13,,2,,,1,6,1,3,2,,90
210,4241.1,4,,3,,12,30,,3,,,,,,3,2,4,,,2,,3,1,,13,5,,,3,,135,5,2,2,23,,28,11,,2,1,,,1,1,2,2,,34
241,4891,1,1,9,,30,28,,1,,,,,,,1,7,,,2,2,2,1,,5,1,,1,6,,166,8,1,1,34,2,28,7,,2,,,,8,,,2,,55
293,6152.8,2,1,6,,7,6,,2,1,1,,,,,,6,3,,1,1,,,,12,3,,,5,,135,19,,4,24,2,28,8,,,,,,18,,7,,,10
330,7127.1,1,,4,,7,6,,4,,3,,,2,,,3,1,,,4,,,,,3,,,4,,192,14,,1,22,2,12,11,,2,,,,3,,,,,5
368,8149.5,,,3,3,9,10,,2,,,,,,1,,5,,,,7,5,,,,4,,,6,,178,12,,3,13,,18,9,,7,,,,2,,1,,,9
49,1277.6,,,12,6,13,20,,,,,5,1,,,5,,3,,2,5,5,,3,110,9,2,,7,,36,2,2,9,102,3,6,27,2,1,3,,3,9,3,5,2,1,48
66,1858.5,,2,8,6,33,19,1,1,,,6,,1,2,9,1,5,,3,10,6,,2,91,2,,,6,,25,7,5,18,91,2,8,24,1,7,,2,,16,2,10,2,,87
